day,product,final_pnl
-2,ASH_COATED_OSMIUM,18037.5
-1,ASH_COATED_OSMIUM,19867.0
0,ASH_COATED_OSMIUM,18885.0
ALL,ASH_COATED_OSMIUM,56789.5
