session_id,total_pnl,max_drawdown,sharpe_like,maker_share,fill_count,max_abs_position
0,94142.5,-2493.0,4.950126949413722,0.25769059295586266,2243.0,73.0
1,97132.5,-3108.0,5.147964202998665,0.2501164415463437,2147.0,75.0
2,102160.0,-1924.0,5.419209359876005,0.2608695652173913,2139.0,70.0
3,93867.0,-2175.0,5.075857838219014,0.25812712275594374,2061.0,68.0
4,95020.0,-2220.0,5.0984645462945,0.25308056872037915,2110.0,68.0
5,73581.0,-2976.5,4.196757422024537,0.23215067893123084,2283.0,70.0
6,82614.5,-2171.0,4.383420848639064,0.24695808922938262,2219.0,72.0
7,86340.5,-2438.0,4.614633557810005,0.24649383765405866,2353.0,68.0
8,96742.0,-2046.0,5.080040117153697,0.24495412844036699,2180.0,76.0
9,94766.0,-1599.0,5.1114011545162565,0.2484988452655889,2165.0,76.0
10,84613.0,-1913.0,4.672921487708258,0.2356687898089172,2198.0,75.0
11,76454.0,-2098.0,4.207583194181706,0.2267515923566879,2355.0,71.0
12,85623.0,-1878.0,4.62982013952015,0.2533272143184947,2179.0,76.0
13,89524.0,-2109.0,4.826003594361492,0.24316813339509033,2159.0,76.0
14,89408.0,-2565.5,4.997986677429652,0.25022583559168926,2214.0,74.0
15,103060.5,-1698.0,5.289999187903672,0.2587962962962963,2160.0,76.0
16,90427.5,-2323.0,4.639315632615666,0.24697445091887046,2231.0,71.0
17,86833.0,-1877.0,4.796922751922278,0.24080717488789238,2230.0,76.0
18,87389.0,-1944.5,4.760725959845493,0.25022872827081427,2186.0,66.0
19,88102.5,-2070.0,4.653962579812526,0.24912739965095987,2292.0,76.0
20,78557.0,-3670.0,4.368786097269522,0.23330479452054795,2336.0,73.0
21,104541.0,-1919.0,5.479368483870438,0.2728564661297963,2111.0,73.0
22,93957.5,-1615.0,5.14266651773166,0.25312355391022673,2161.0,76.0
23,85036.0,-2579.0,4.6332966003922555,0.23537414965986395,2205.0,71.0
