model,ash_pnl,pepper_pnl,total_pnl,day_-2_total,day_-1_total,day_0_total,ash_turnover,pepper_turnover,daily_std
model_G5,62977.5,239736.0,302713.5,100943.5,101369.0,100401.0,12263.0,3956.0,485.17702954694795
model_G2,62977.5,239628.0,302605.5,101096.5,101324.0,100185.0,12263.0,4843.0,602.7588655507275
model_G3,62977.5,239570.0,302547.5,100932.5,101500.0,100115.0,12263.0,4579.0,696.2503740274279
model_F2,62977.5,239411.0,302388.5,101124.5,101373.0,99891.0,12263.0,5144.0,793.6832386622092
model_G4,62977.5,239377.0,302354.5,101027.5,101286.0,100041.0,12263.0,4568.0,657.0171864824644
model_G1,62977.5,239347.0,302324.5,100909.5,101232.0,100183.0,12263.0,4317.0,537.309578672606
model_F4,62977.5,239263.0,302240.5,100874.5,101282.0,100084.0,12263.0,5124.0,609.1182835322983
model_F3,62977.5,238953.0,301930.5,100629.5,101348.0,99953.0,12263.0,4133.0,697.6053683853071
