base_model,variant,ash_pnl,pepper_pnl,total_pnl,pepper_turnover,pepper_avg_inventory
model_G5,less_hold,62977.5,239841.0,302818.5,4060.0,76.68092566619916
model_G5,more_hold,62977.5,239752.0,302729.5,3950.0,76.87734588926735
model_G4,easier_trim,62977.5,239377.0,302354.5,4568.0,75.98938088559407
model_G4,stickier_hold,62977.5,239377.0,302354.5,4568.0,75.98938088559407
model_G2,lower_schedule,62977.5,239729.0,302706.5,5001.0,75.4860749348828
model_G2,higher_schedule,62977.5,239736.0,302713.5,4717.0,75.91898751085287
