model,official_ash_pnl,official_pepper_pnl,official_total_pnl,official_day_-2_total,official_day_-1_total,official_day_0_total,official_min_day_pnl
model_G5,56789.5,238510.0,295299.5,98408.5,99298.0,97593.0,97593.0
model_G4,56789.5,238226.0,295015.5,98446.5,99288.0,97281.0,97281.0
model_G2,56789.5,237896.0,294685.5,98586.5,99247.0,96852.0,96852.0
model_G1,56789.5,237894.0,294683.5,98228.5,99104.0,97351.0,97351.0
model_G3,56789.5,237828.0,294617.5,98404.5,99271.0,96942.0,96942.0
model_F3,56789.5,237501.0,294290.5,98000.5,99128.0,97162.0,97162.0
model_F2,56789.5,237481.0,294270.5,98445.5,99088.0,96737.0,96737.0
model_F4,56789.5,237229.0,294018.5,98252.5,99072.0,96694.0,96694.0
