model,pepper_pnl,drift_capture_ratio,avg_inventory,avg_inventory_early,avg_inventory_mid,avg_inventory_late,buy_qty_total,buy_qty_early,sell_qty_total,sell_qty_late,turnover,under_target_share,estimated_upside_lost_after_sells,estimated_upside_lost_after_late_sells,avg_buy_fill_size,avg_sell_fill_size,aggressive_fill_share
model_E_plus_11,213167.0,0.8870131491344874,71.94837373939758,24.96078431372549,65.12121212121212,72.132223903177,3944.0,140.0,3755.0,3745.0,7699.0,0.2738262205302879,1305274.5,1295304.5,5.642346208869814,6.418803418803419,0.7507788161993769
model_E_plus_14,213191.0,0.8871130159786951,71.95241434582248,24.96078431372549,65.12121212121212,72.1362918137502,3952.0,140.0,3763.0,3753.0,7715.0,0.2733253189073666,1312624.0,1302654.0,5.645714285714286,6.421501706484642,0.7511664074650077
model_E_plus_15,213167.0,0.8870131491344874,71.94837373939758,24.96078431372549,65.12121212121212,72.132223903177,3944.0,140.0,3755.0,3745.0,7699.0,0.2738262205302879,1305274.5,1295304.5,5.642346208869814,6.418803418803419,0.7507788161993769
model_E_plus_16,213191.0,0.8871130159786951,71.95241434582248,24.96078431372549,65.12121212121212,72.1362918137502,3952.0,140.0,3763.0,3753.0,7715.0,0.2733253189073666,1312624.0,1302654.0,5.645714285714286,6.421501706484642,0.7511664074650077
