day,product,final_pnl
-2,ASH_COATED_OSMIUM,18118.5
-1,ASH_COATED_OSMIUM,20069.0
0,ASH_COATED_OSMIUM,18936.0
ALL,ASH_COATED_OSMIUM,57123.5
