session_id,total_pnl,max_drawdown,sharpe_like,maker_share,fill_count,max_abs_position
0,103758.0,-1980.0,5.302240416907227,0.2695274831243973,2074.0,75.0
1,102636.5,-2922.0,5.44086342587563,0.2568306010928962,2013.0,71.0
2,107741.0,-1739.0,5.63053768827865,0.27209186220668996,2003.0,72.0
3,102308.5,-2103.5,5.449226513927199,0.2724867724867725,1890.0,76.0
4,102861.0,-1945.0,5.387596600395722,0.2648703609557702,1967.0,73.0
5,81891.5,-2720.0,4.743398797339787,0.25071225071225073,2106.0,69.0
6,89440.0,-1995.0,4.778098470586883,0.2606356968215159,2045.0,76.0
7,95741.5,-2336.0,4.960954493036645,0.25703905540417804,2202.0,74.0
8,103567.0,-1581.0,5.392090159991488,0.25672981056829514,2006.0,76.0
9,103192.5,-1507.0,5.49434257797073,0.2598187311178248,1986.0,76.0
10,91340.5,-1686.5,5.042156418009616,0.2514851485148515,2020.0,76.0
11,85006.0,-1900.0,4.676645113874895,0.24269141531322505,2155.0,76.0
12,93564.0,-1661.0,5.013883199403702,0.2713139418254764,1994.0,76.0
13,95774.5,-1858.0,5.103689493866673,0.2553086419753086,2025.0,76.0
14,96998.0,-2614.0,5.364788913540544,0.2625182304326689,2057.0,76.0
15,112250.5,-1672.0,5.550187760641852,0.27268268759195685,2039.0,76.0
16,98578.0,-2122.0,4.898827278717046,0.2513214800576646,2081.0,73.0
17,93618.0,-1799.0,5.180793085306902,0.2578616352201258,2067.0,76.0
18,96161.5,-1690.0,5.161634474165027,0.2637037037037037,2025.0,70.0
19,98898.5,-1811.0,5.075238136289897,0.26043643263757116,2108.0,76.0
20,86416.0,-3248.0,4.8474104132260685,0.2487167522165189,2143.0,75.0
21,113578.0,-1839.0,5.755687189718755,0.2858590978205778,1973.0,75.0
22,104918.0,-1508.0,5.581061454975258,0.2716733870967742,1984.0,75.0
23,91739.5,-1655.0,4.989798461332554,0.2502467917077986,2026.0,71.0
