model,round,round_label,scenario,day,product,day_pnl,avg_position,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit
model_G1,round_1,Round 1,baseline,-1,TOTAL,101876.5,,,,,,
model_G1,round_1,Round 1,baseline,0,TOTAL,100900.0,,,,,,
model_G1,round_2,Round 2,baseline,-1,ASH_COATED_OSMIUM,22612.0,18.429444166249375,21.801702553830747,61.0,0.0012018027040560841,0.0,0.0
model_G1,round_2,Round 2,baseline,0,ASH_COATED_OSMIUM,22918.0,10.533653846153847,27.11318108974359,80.0,0.04657451923076923,0.02283653846153846,0.0028044871794871795
model_G1,round_2,Round 2,baseline,1,ASH_COATED_OSMIUM,22476.0,13.877630787733013,19.14762477450391,64.0,0.00220485067147725,0.0,0.0
model_G1,round_2,Round 2,baseline,-1,INTARIAN_PEPPER_ROOT,78433.0,74.88635225793531,74.88635225793531,80.0,0.9553419445278862,0.850105136677681,0.4505857614899369
model_G1,round_2,Round 2,baseline,0,INTARIAN_PEPPER_ROOT,78750.0,74.491083951112,74.491083951112,80.0,0.974954918853937,0.7801041875375676,0.4118413143658585
model_G1,round_2,Round 2,baseline,1,INTARIAN_PEPPER_ROOT,80051.0,74.05188301282051,74.05188301282051,80.0,0.9535256410256411,0.7945713141025641,0.34094551282051283
model_G1,round_2,Round 2,baseline,-1,TOTAL,101045.0,,,,,,
model_G1,round_2,Round 2,baseline,0,TOTAL,101668.0,,,,,,
model_G1,round_2,Round 2,baseline,1,TOTAL,102527.0,,,,,,
model_G4,round_1,Round 1,baseline,-2,ASH_COATED_OSMIUM,20101.5,6.270386696052896,21.54828691644961,80.0,0.015728310959727508,0.005209376878381086,0.00010018032458425165
model_G4,round_1,Round 1,baseline,-1,ASH_COATED_OSMIUM,22204.5,5.187418611639788,21.86577181208054,64.0,0.003806471000701192,0.0,0.0
model_G4,round_1,Round 1,baseline,0,ASH_COATED_OSMIUM,20842.0,13.461045463649109,31.596635289405167,74.0,0.036050470658922494,0.002002803925495694,0.0
model_G4,round_1,Round 1,baseline,-2,INTARIAN_PEPPER_ROOT,80926.0,77.21374198717949,77.21374198717949,80.0,0.9866786858974359,0.9345953525641025,0.5938501602564102
model_G4,round_1,Round 1,baseline,-1,INTARIAN_PEPPER_ROOT,79727.0,76.13162376039267,76.13162376039267,80.0,0.981668837022939,0.8973254532705599,0.4982470199338876
model_G4,round_1,Round 1,baseline,0,INTARIAN_PEPPER_ROOT,79864.0,75.09209339613187,75.09209339613187,80.0,0.9744463373083475,0.8216254133680729,0.4322076360356749
model_G4,round_1,Round 1,baseline,-2,TOTAL,101027.5,,,,,,
model_G4,round_1,Round 1,baseline,-1,TOTAL,101931.5,,,,,,
model_G4,round_1,Round 1,baseline,0,TOTAL,100706.0,,,,,,
model_G4,round_2,Round 2,baseline,-1,ASH_COATED_OSMIUM,22612.0,18.429444166249375,21.801702553830747,61.0,0.0012018027040560841,0.0,0.0
model_G4,round_2,Round 2,baseline,0,ASH_COATED_OSMIUM,22918.0,10.533653846153847,27.11318108974359,80.0,0.04657451923076923,0.02283653846153846,0.0028044871794871795
model_G4,round_2,Round 2,baseline,1,ASH_COATED_OSMIUM,22476.0,13.877630787733013,19.14762477450391,64.0,0.00220485067147725,0.0,0.0
model_G4,round_2,Round 2,baseline,-1,INTARIAN_PEPPER_ROOT,78298.0,74.77150295384,74.77150295384,80.0,0.9606488434965456,0.8354861319715631,0.4329628517072194
model_G4,round_2,Round 2,baseline,0,INTARIAN_PEPPER_ROOT,78554.0,73.61781206171108,73.61781206171108,80.0,0.9573231817271088,0.7329192546583851,0.3902023642556602
model_G4,round_2,Round 2,baseline,1,INTARIAN_PEPPER_ROOT,79778.0,73.70703125,73.70703125,80.0,0.9506209935897436,0.7792467948717948,0.3212139423076923
model_G4,round_2,Round 2,baseline,-1,TOTAL,100910.0,,,,,,
model_G4,round_2,Round 2,baseline,0,TOTAL,101472.0,,,,,,
model_G4,round_2,Round 2,baseline,1,TOTAL,102254.0,,,,,,
model_G2,round_1,Round 1,baseline,-2,ASH_COATED_OSMIUM,20101.5,6.270386696052896,21.54828691644961,80.0,0.015728310959727508,0.005209376878381086,0.00010018032458425165
model_G2,round_1,Round 1,baseline,-1,ASH_COATED_OSMIUM,22204.5,5.187418611639788,21.86577181208054,64.0,0.003806471000701192,0.0,0.0
model_G2,round_1,Round 1,baseline,0,ASH_COATED_OSMIUM,20842.0,13.461045463649109,31.596635289405167,74.0,0.036050470658922494,0.002002803925495694,0.0
model_G2,round_1,Round 1,baseline,-2,INTARIAN_PEPPER_ROOT,80995.0,76.98056891025641,76.98056891025641,80.0,0.9869791666666666,0.9268830128205128,0.5855368589743589
model_G2,round_1,Round 1,baseline,-1,INTARIAN_PEPPER_ROOT,79765.0,75.86326755484323,75.86326755484323,80.0,0.9791645797856355,0.8820995692677552,0.4513673244515677
model_G2,round_1,Round 1,baseline,0,INTARIAN_PEPPER_ROOT,79976.0,74.73053412165548,74.73053412165548,80.0,0.9798577011724622,0.81150415873334,0.4095600761599359
model_G2,round_1,Round 1,baseline,-2,TOTAL,101096.5,,,,,,
model_G2,round_1,Round 1,baseline,-1,TOTAL,101969.5,,,,,,
model_G2,round_1,Round 1,baseline,0,TOTAL,100818.0,,,,,,
model_G2,round_2,Round 2,baseline,-1,ASH_COATED_OSMIUM,22612.0,18.429444166249375,21.801702553830747,61.0,0.0012018027040560841,0.0,0.0
model_G2,round_2,Round 2,baseline,0,ASH_COATED_OSMIUM,22918.0,10.533653846153847,27.11318108974359,80.0,0.04657451923076923,0.02283653846153846,0.0028044871794871795
model_G2,round_2,Round 2,baseline,1,ASH_COATED_OSMIUM,22476.0,13.877630787733013,19.14762477450391,64.0,0.00220485067147725,0.0,0.0
model_G2,round_2,Round 2,baseline,-1,INTARIAN_PEPPER_ROOT,77963.0,73.88084509862821,73.88084509862821,80.0,0.9406228096525483,0.7762090717933313,0.407129268048463
model_G2,round_2,Round 2,baseline,0,INTARIAN_PEPPER_ROOT,78353.0,72.9904828691645,72.9904828691645,80.0,0.9449008214786616,0.7126828290923662,0.35624123422159887
model_G2,round_2,Round 2,baseline,1,INTARIAN_PEPPER_ROOT,79529.0,72.74088541666667,72.74088541666667,80.0,0.9316907051282052,0.7105368589743589,0.2936698717948718
model_G2,round_2,Round 2,baseline,-1,TOTAL,100575.0,,,,,,
model_G2,round_2,Round 2,baseline,0,TOTAL,101271.0,,,,,,
model_G2,round_2,Round 2,baseline,1,TOTAL,102005.0,,,,,,
model_F3,round_1,Round 1,baseline,-2,ASH_COATED_OSMIUM,20101.5,6.270386696052896,21.54828691644961,80.0,0.015728310959727508,0.005209376878381086,0.00010018032458425165
