model,round,round_label,scenario,product,total_pnl,max_drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit,daily_mean_pnl,daily_std_pnl,min_day_pnl
model_kiko,round_2,Round 2,baseline,ASH_COATED_OSMIUM,66456.0,-1620.0,2024.0,0.66600790513834,0.3339920948616601,5.692193675889328,28.27071159047651,80.0,0.10852506094099576,0.048285304037132264,0.017898286973653456,22152.0,485.6737588134652,21659.0
model_kiko,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,243484.0,-1680.0,1525.0,0.3862295081967213,0.6137704918032787,5.341639344262295,71.12139017794544,80.0,0.8891930691416553,0.6420058091009248,0.2622107969151671,81161.33333333333,454.7186859293703,80687.0
model_kiko,round_2,Round 2,baseline,TOTAL,309940.0,-1850.0,3549.0,0.5457875457875457,0.4542124542124542,5.541561003099464,,,,,,103313.33333333333,940.0545640192028,102346.0
model_G5,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G5,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,237406.0,-1680.0,1021.0,0.3418217433888345,0.6581782566111655,4.940254652301665,74.86602343671753,80.0,0.9598704637265049,0.8301004907688713,0.4225620138216539,79135.33333333333,922.6599229040639,78538.0
model_G5,round_2,Round 2,baseline,TOTAL,305412.0,-1981.0,3284.0,0.5167478684531059,0.48325213154689406,5.322472594397077,,,,,,101804.0,784.624751075315,101150.0
model_G1,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G1,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,237234.0,-1680.0,1068.0,0.3258426966292135,0.6741573033707865,4.99812734082397,74.47647981838213,80.0,0.9612726605014523,0.80826628384469,0.40112843454745767,79078.0,857.4199671106336,78433.0
model_G1,round_2,Round 2,baseline,TOTAL,305240.0,-1981.0,3331.0,0.5091564094866406,0.49084359051335935,5.335634944461122,,,,,,101746.66666666667,744.1252134777677,101045.0
model_G4,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G4,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,236630.0,-1680.0,1072.0,0.3358208955223881,0.664179104477612,5.0559701492537314,74.03221714018629,80.0,0.9561980436016426,0.782559342970654,0.3814642940606951,78876.66666666667,791.0027391440141,78298.0
model_G4,round_2,Round 2,baseline,TOTAL,304636.0,-1981.0,3335.0,0.512143928035982,0.487856071964018,5.353823088455772,,,,,,101545.33333333333,674.9943209637644,100910.0
model_G2,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G2,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,235845.0,-1680.0,1133.0,0.3327449249779347,0.6672550750220653,5.138570167696381,73.20415317330485,80.0,0.9390712115647848,0.7331485994725069,0.3523520181617868,78615.0,815.2128556395562,77963.0
model_G2,round_2,Round 2,baseline,TOTAL,303851.0,-1981.0,3396.0,0.5079505300353356,0.4920494699646643,5.37603062426384,,,,,,101283.66666666667,715.084144232924,100575.0
model_F3,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_F3,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,235496.0,-1680.0,995.0,0.28241206030150756,0.7175879396984924,5.101507537688442,74.52114980135546,80.0,0.9585016525890562,0.7949788001201883,0.42736954562147367,78498.66666666667,908.0592399911656,77661.5
model_F3,round_2,Round 2,baseline,TOTAL,303502.0,-1981.0,3258.0,0.5,0.5,5.374769797421731,,,,,,101167.33333333333,839.8312826594002,100273.5
model_kiko,round_2,Round 2,depth_90,ASH_COATED_OSMIUM,65380.0,-1658.0,2025.0,0.6671604938271605,0.3328395061728395,5.404444444444445,28.4723678498681,80.0,0.11363408688683341,0.052292383210338265,0.017497579056332854,21793.333333333332,500.0583299309525,21325.0
model_kiko,round_2,Round 2,depth_90,INTARIAN_PEPPER_ROOT,243029.5,-1680.0,1540.0,0.38311688311688313,0.6168831168831169,4.953896103896104,71.20141555102995,80.0,0.8764397556171335,0.6579307581878276,0.25292958969051516,81009.83333333333,490.5645557246603,80668.5
model_kiko,round_2,Round 2,depth_90,TOTAL,308409.5,-1876.5,3565.0,0.5444600280504909,0.4555399719495091,5.209817671809256,,,,,,102803.16666666667,979.5540226722227,101993.5
model_G5,round_2,Round 2,depth_90,ASH_COATED_OSMIUM,66912.0,-1206.0,2268.0,0.5947971781305115,0.4052028218694885,5.195767195767195,22.653721574782114,78.0,0.019000233746285105,0.0025378168096971314,0.0,22304.0,331.37139285098226,22047.0
model_G5,round_2,Round 2,depth_90,INTARIAN_PEPPER_ROOT,236122.5,-1680.0,1043.0,0.33557046979865773,0.6644295302013423,4.6433365292425695,74.68948018562415,80.0,0.9600373919139986,0.8222214803191666,0.4008613494474677,78707.5,1053.1766233638116,77848.5
model_G5,round_2,Round 2,depth_90,TOTAL,303034.5,-1975.5,3311.0,0.5131380247659317,0.48686197523406827,5.0217456961643006,,,,,,101011.5,948.3311657854549,100035.5
model_G1,round_2,Round 2,depth_90,ASH_COATED_OSMIUM,66912.0,-1206.0,2268.0,0.5947971781305115,0.4052028218694885,5.195767195767195,22.653721574782114,78.0,0.019000233746285105,0.0025378168096971314,0.0,22304.0,331.37139285098226,22047.0
model_G1,round_2,Round 2,depth_90,INTARIAN_PEPPER_ROOT,235902.5,-1680.0,1086.0,0.32136279926335176,0.6786372007366482,4.6749539594843466,74.44332788034588,80.0,0.9567655994391213,0.8065636163322538,0.386906152972991,78634.16666666667,1056.4470329047895,77654.5
model_G1,round_2,Round 2,depth_90,TOTAL,302814.5,-1975.5,3354.0,0.5062611806797853,0.4937388193202147,5.0271317829457365,,,,,,100938.16666666667,1000.3021210281089,99841.5
model_G4,round_2,Round 2,depth_90,ASH_COATED_OSMIUM,66912.0,-1206.0,2268.0,0.5947971781305115,0.4052028218694885,5.195767195767195,22.653721574782114,78.0,0.019000233746285105,0.0025378168096971314,0.0,22304.0,331.37139285098226,22047.0
model_G4,round_2,Round 2,depth_90,INTARIAN_PEPPER_ROOT,235193.5,-1680.0,1101.0,0.329700272479564,0.670299727520436,4.76566757493188,73.90528494641605,80.0,0.9530264080392615,0.7718759389710547,0.37942777017327145,78397.83333333333,887.2812876046318,77482.0
model_G4,round_2,Round 2,depth_90,TOTAL,302105.5,-1975.5,3369.0,0.5081626595428911,0.4918373404571089,5.055209260908281,,,,,,100701.83333333333,898.2335906284809,99669.0
model_G2,round_2,Round 2,depth_90,ASH_COATED_OSMIUM,66912.0,-1206.0,2268.0,0.5947971781305115,0.4052028218694885,5.195767195767195,22.653721574782114,78.0,0.019000233746285105,0.0025378168096971314,0.0,22304.0,331.37139285098226,22047.0
model_G2,round_2,Round 2,depth_90,INTARIAN_PEPPER_ROOT,234866.5,-1680.0,1163.0,0.3250214961306965,0.6749785038693035,4.807394668959588,73.18308683604313,80.0,0.9409741929022135,0.7375888892598405,0.3388642206122926,78288.83333333333,907.501147841331,77480.5
model_G2,round_2,Round 2,depth_90,TOTAL,301778.5,-1906.5,3431.0,0.5033517924803265,0.4966482075196736,5.064121247449723,,,,,,100592.83333333333,843.1045803062235,99667.5
model_F3,round_2,Round 2,depth_90,ASH_COATED_OSMIUM,66912.0,-1206.0,2268.0,0.5947971781305115,0.4052028218694885,5.195767195767195,22.653721574782114,78.0,0.019000233746285105,0.0025378168096971314,0.0,22304.0,331.37139285098226,22047.0
model_F3,round_2,Round 2,depth_90,INTARIAN_PEPPER_ROOT,234642.5,-1680.0,1020.0,0.28627450980392155,0.7137254901960784,4.734313725490196,74.48853203351918,80.0,0.9565986712516276,0.7901378826828698,0.4211598170467065,78214.16666666667,1196.4591858201154,76890.0
model_F3,round_2,Round 2,depth_90,TOTAL,301554.5,-1975.5,3288.0,0.4990875912408759,0.5009124087591241,5.052615571776156,,,,,,100518.16666666667,1248.3525476936927,99077.0
model_kiko,round_2,Round 2,depth_110,ASH_COATED_OSMIUM,67526.0,-1670.0,2024.0,0.6645256916996047,0.33547430830039526,5.976284584980237,28.78919424316292,80.0,0.11880989748555781,0.05529769259024276,0.01956790329582262,22508.666666666668,440.1923821845777,22026.0
model_kiko,round_2,Round 2,depth_110,INTARIAN_PEPPER_ROOT,243023.5,-1680.0,1514.0,0.38507265521796563,0.6149273447820344,5.747027741083223,70.81501018261943,80.0,0.8663572930925116,0.6296197375888892,0.2699228791773779,81007.83333333333,262.9973067035732,80710.5
model_kiko,round_2,Round 2,depth_110,TOTAL,310549.5,-1874.0,3538.0,0.5449406444318824,0.4550593555681176,5.8781797625777275,,,,,,103516.5,680.7644600006672,102736.5
model_G5,round_2,Round 2,depth_110,ASH_COATED_OSMIUM,69060.0,-1292.0,2255.0,0.5973392461197339,0.40266075388026606,5.772062084257207,23.652653020335926,80.0,0.01836577954386082,0.009116105119043644,0.003439409623668481,23020.0,64.64518543557594,22970.0
model_G5,round_2,Round 2,depth_110,INTARIAN_PEPPER_ROOT,238794.5,-1680.0,990.0,0.3484848484848485,0.6515151515151515,5.144444444444445,75.04426935532334,80.0,0.9590358227890362,0.8485293626681801,0.44473007712082263,79598.16666666667,523.2844191578164,79211.0
model_G5,round_2,Round 2,depth_110,TOTAL,307854.5,-2050.0,3245.0,0.5214175654853621,0.4785824345146379,5.580585516178736,,,,,,102618.16666666667,491.88167615121966,102208.0
