model,round,round_label,scenario,product,total_pnl,max_drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit,daily_mean_pnl,daily_std_pnl,min_day_pnl
model_kiko,round_1,Round 1,baseline,ASH_COATED_OSMIUM,62841.0,-1840.0,1956.0,0.6293456032719836,0.37065439672801637,5.773006134969325,27.51450702814597,80.0,0.12507094921705453,0.06420486795098661,0.014690661413642283,20947.0,1188.6138986230978,20113.0
model_kiko,round_1,Round 1,baseline,INTARIAN_PEPPER_ROOT,247944.0,-1520.0,1411.0,0.3777462792345854,0.6222537207654146,5.259390503189228,74.13604488078542,80.0,0.962966673345355,0.7899552527883523,0.3655913978494624,82648.0,606.3002556489647,81948.0
model_kiko,round_1,Round 1,baseline,TOTAL,310785.0,-1972.0,3367.0,0.5239085239085239,0.4760914760914761,5.557766557766557,,,,,,103595.0,1520.4614431152143,102368.0
model_kiko,round_2,Round 2,baseline,ASH_COATED_OSMIUM,66456.0,-1620.0,2024.0,0.66600790513834,0.3339920948616601,5.692193675889328,28.27071159047651,80.0,0.10852506094099576,0.048285304037132264,0.017898286973653456,22152.0,485.6737588134652,21659.0
model_kiko,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,243484.0,-1680.0,1525.0,0.3862295081967213,0.6137704918032787,5.341639344262295,71.12139017794544,80.0,0.8891930691416553,0.6420058091009248,0.2622107969151671,81161.33333333333,454.7186859293703,80687.0
model_kiko,round_2,Round 2,baseline,TOTAL,309940.0,-1850.0,3549.0,0.5457875457875457,0.4542124542124542,5.541561003099464,,,,,,103313.33333333333,940.0545640192028,102346.0
model_G5,round_1,Round 1,baseline,ASH_COATED_OSMIUM,63148.0,-1254.0,2223.0,0.5470085470085471,0.452991452991453,5.519118308591993,25.004340422690394,80.0,0.01853026610129879,0.0024039264131414644,3.3387866849187006e-05,21049.333333333332,1066.7204804133712,20101.5
model_G5,round_1,Round 1,baseline,INTARIAN_PEPPER_ROOT,240878.0,-1520.0,782.0,0.3516624040920716,0.6483375959079284,4.831202046035806,77.02304147465438,80.0,0.986876377479463,0.9235958057837441,0.5751686368797169,80292.66666666667,518.4219645552581,79812.0
model_G5,round_1,Round 1,baseline,TOTAL,304026.0,-1744.0,3005.0,0.4961730449251248,0.5038269550748752,5.340099833610649,,,,,,101342.0,587.336573014145,100943.5
model_G5,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G5,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,237406.0,-1680.0,1021.0,0.3418217433888345,0.6581782566111655,4.940254652301665,74.86602343671753,80.0,0.9598704637265049,0.8301004907688713,0.4225620138216539,79135.33333333333,922.6599229040639,78538.0
model_G5,round_2,Round 2,baseline,TOTAL,305412.0,-1981.0,3284.0,0.5167478684531059,0.48325213154689406,5.322472594397077,,,,,,101804.0,784.624751075315,101150.0
model_G1,round_1,Round 1,baseline,ASH_COATED_OSMIUM,63148.0,-1254.0,2223.0,0.5470085470085471,0.452991452991453,5.519118308591993,25.004340422690394,80.0,0.01853026610129879,0.0024039264131414644,3.3387866849187006e-05,21049.333333333332,1066.7204804133712,20101.5
model_G1,round_1,Round 1,baseline,INTARIAN_PEPPER_ROOT,240538.0,-1501.0,842.0,0.332541567695962,0.667458432304038,4.933491686460807,76.51799906498364,80.0,0.9852067054030589,0.8972817738596139,0.5243772123155013,80179.33333333333,577.637718066725,79672.0
model_G1,round_1,Round 1,baseline,TOTAL,303686.0,-1744.0,3065.0,0.48809135399673736,0.5119086460032627,5.358238172920065,,,,,,101228.66666666667,561.0602314665808,100900.0
model_G1,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G1,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,237234.0,-1680.0,1068.0,0.3258426966292135,0.6741573033707865,4.99812734082397,74.47647981838213,80.0,0.9612726605014523,0.80826628384469,0.40112843454745767,79078.0,857.4199671106336,78433.0
model_G1,round_2,Round 2,baseline,TOTAL,305240.0,-1981.0,3331.0,0.5091564094866406,0.49084359051335935,5.335634944461122,,,,,,101746.66666666667,744.1252134777677,101045.0
model_G4,round_1,Round 1,baseline,ASH_COATED_OSMIUM,63148.0,-1254.0,2223.0,0.5470085470085471,0.452991452991453,5.519118308591993,25.004340422690394,80.0,0.01853026610129879,0.0024039264131414644,3.3387866849187006e-05,21049.333333333332,1066.7204804133712,20101.5
model_G4,round_1,Round 1,baseline,INTARIAN_PEPPER_ROOT,240517.0,-1520.0,897.0,0.34448160535117056,0.6555183946488294,4.907469342251951,76.14599612636079,80.0,0.9809323448874641,0.884525479195886,0.5081146062913244,80172.33333333333,656.2791580823921,79727.0
model_G4,round_1,Round 1,baseline,TOTAL,303665.0,-1744.0,3120.0,0.48878205128205127,0.5112179487179487,5.343269230769231,,,,,,101221.66666666667,635.4038741881681,100706.0
model_G4,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G4,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,236630.0,-1680.0,1072.0,0.3358208955223881,0.664179104477612,5.0559701492537314,74.03221714018629,80.0,0.9561980436016426,0.782559342970654,0.3814642940606951,78876.66666666667,791.0027391440141,78298.0
model_G4,round_2,Round 2,baseline,TOTAL,304636.0,-1981.0,3335.0,0.512143928035982,0.487856071964018,5.353823088455772,,,,,,101545.33333333333,674.9943209637644,100910.0
model_G2,round_1,Round 1,baseline,ASH_COATED_OSMIUM,63148.0,-1254.0,2223.0,0.5470085470085471,0.452991452991453,5.519118308591993,25.004340422690394,80.0,0.01853026610129879,0.0024039264131414644,3.3387866849187006e-05,21049.333333333332,1066.7204804133712,20101.5
model_G2,round_1,Round 1,baseline,INTARIAN_PEPPER_ROOT,240736.0,-1501.0,928.0,0.33189655172413796,0.6681034482758621,5.0344827586206895,75.85831162759634,80.0,0.9820009350163628,0.8735056434916183,0.4821679022240032,80245.33333333333,657.7464050326184,79765.0
model_G2,round_1,Round 1,baseline,TOTAL,303884.0,-1744.0,3151.0,0.48365598222786416,0.5163440177721358,5.376388448111711,,,,,,101294.66666666667,600.7833081347495,100818.0
model_G2,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_G2,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,235845.0,-1680.0,1133.0,0.3327449249779347,0.6672550750220653,5.138570167696381,73.20415317330485,80.0,0.9390712115647848,0.7331485994725069,0.3523520181617868,78615.0,815.2128556395562,77963.0
model_G2,round_2,Round 2,baseline,TOTAL,303851.0,-1981.0,3396.0,0.5079505300353356,0.4920494699646643,5.37603062426384,,,,,,101283.66666666667,715.084144232924,100575.0
model_F3,round_1,Round 1,baseline,ASH_COATED_OSMIUM,63148.0,-1254.0,2223.0,0.5470085470085471,0.452991452991453,5.519118308591993,25.004340422690394,80.0,0.01853026610129879,0.0024039264131414644,3.3387866849187006e-05,21049.333333333332,1066.7204804133712,20101.5
model_F3,round_1,Round 1,baseline,INTARIAN_PEPPER_ROOT,240144.0,-1520.0,796.0,0.3015075376884422,0.6984924623115578,4.9874371859296485,76.64021906097642,80.0,0.9846724103386095,0.8997194950911641,0.561310358645562,80048.0,416.17304093369626,79788.0
model_F3,round_1,Round 1,baseline,TOTAL,303292.0,-1744.0,3019.0,0.48227890029811193,0.5177210997018881,5.378933421662802,,,,,,101097.33333333333,775.5015044043005,100629.5
model_F3,round_2,Round 2,baseline,ASH_COATED_OSMIUM,68006.0,-1233.0,2263.0,0.5956694653115333,0.40433053468846664,5.494918250110473,22.688182455671686,80.0,0.01666277089524827,0.007613450429091395,0.0009349851404147327,22668.666666666668,226.38315602829934,22476.0
model_F3,round_2,Round 2,baseline,INTARIAN_PEPPER_ROOT,235496.0,-1680.0,995.0,0.28241206030150756,0.7175879396984924,5.101507537688442,74.52114980135546,80.0,0.9585016525890562,0.7949788001201883,0.42736954562147367,78498.66666666667,908.0592399911656,77661.5
model_F3,round_2,Round 2,baseline,TOTAL,303502.0,-1981.0,3258.0,0.5,0.5,5.374769797421731,,,,,,101167.33333333333,839.8312826594002,100273.5
