v,pmf
0,0.00266254463649555
1,0.000615487859542612
2,0.0006477142538061479
3,0.0006882699305661632
4,0.0007390107214406026
5,0.0008020730641387802
6,0.0008798712562269999
7,0.0009750783086997628
8,0.0010905865351208436
9,0.0012294444188470505
10,0.007612383721077098
11,0.01758961946588549
12,0.0018168714810106509
13,0.0020790298971700904
14,0.002378050168422336
15,0.00271513735983419
16,0.0030905462915283904
17,0.0035033937202398092
18,0.003951496903129372
19,0.004431253540532594
20,0.013227733021911102
21,0.023463903547771895
22,0.006002268852249562
23,0.006543479157577886
24,0.00707735638638835
25,0.01588321838044026
26,0.024079489502284175
27,0.008525688059729251
28,0.008921327032315627
29,0.009257142195498863
30,0.030913871950039504
31,0.05016297834979691
32,0.02665841924986758
33,0.04343888238113629
34,0.06326779101448109
35,0.06865979864305484
36,0.05699598793468742
37,0.033077325278073645
38,0.03245054874854397
39,0.03115230856466477
40,0.039632566244700566
41,0.05493049680114515
42,0.024286139775412337
43,0.021496149433035874
44,0.01871075468568149
45,0.016057733895423528
46,0.029633797107882207
47,0.005551297758678752
48,0.0052412950154561155
49,0.004964112017620233
50,0.013010843845756544
51,0.01651080103578553
52,0.00433323467473238
53,0.004185965996022213
54,0.004066349065167146
55,0.003971292695262866
56,0.0038974225797477283
57,0.003841223653461945
58,0.0037991604828357295
59,0.003767775470890278
60,0.007888843902887252
61,0.0037240441156590975
62,0.003705777776532033
63,0.003686423043456439
64,0.00366374358003468
65,0.0036358236288007452
66,0.003601074950752213
67,0.0056307779479289576
68,0.003506385583840464
69,0.0034449063618711326
70,0.004409775585390156
71,0.0032921887382740323
72,0.003201238690708727
73,0.0031011985473171962
74,0.0029928413808585014
75,0.0028771391309580833
76,0.002755227266788158
77,0.002628366635159492
78,0.0024979035646977435
79,0.0023652294505541265
80,0.0022317411190815655
81,0.0020988032629893328
82,0.001967714147377466
83,0.0018396756251414566
84,0.0017157682810943651
85,0.0015969322657975451
86,0.00148395410213967
87,0.001377459469664056
88,0.0012779117113709752
89,0.0011856155801967887
90,0.0011007255588668008
91,0.001023257954435855
92,0.0009531058904341082
93,0.000890056294047236
94,0.0008338079986909266
95,0.0007839901465626392
96,0.0007401801723535336
97,0.0007019207684526971
98,0.0006687353637748548
99,0.0006401417835147674
100,0.0011337986026179942
