model,product,total_pnl,turnover,fill_count,maker_share,aggressive_fill_share,market_trade_fill_share,avg_inventory,max_abs_inventory
model_C,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_C,INTARIAN_PEPPER_ROOT,130495.5,16673.0,2403.0,0.19808572617561382,0.8019142738243862,0.19808572617561382,50.49642690175649,78.0
model_E,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E,INTARIAN_PEPPER_ROOT,208937.5,8311.0,1356.0,0.24041297935103245,0.7595870206489675,0.24041297935103245,71.32859146463635,80.0
model_E_plus_3,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,213129.0,7707.0,1291.0,0.24864446165762974,0.7513555383423702,0.24864446165762974,71.93508314966941,80.0
model_E_plus_4,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E_plus_4,INTARIAN_PEPPER_ROOT,213088.0,7711.0,1292.0,0.24845201238390094,0.7515479876160991,0.24845201238390094,71.92286115007012,80.0
model_E_plus_5,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E_plus_5,INTARIAN_PEPPER_ROOT,213842.0,7577.0,1274.0,0.24803767660910517,0.7519623233908949,0.24803767660910517,72.15234088025112,80.0
model_E_plus_6,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,213121.0,7699.0,1290.0,0.24883720930232558,0.7511627906976744,0.24883720930232558,71.939357510185,80.0
model_E_plus_7,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E_plus_7,INTARIAN_PEPPER_ROOT,213795.0,7537.0,1269.0,0.24901497241922774,0.7509850275807722,0.24901497241922774,72.15721632271422,80.0
model_E_plus_8,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,0.5461088618983356,0.4538911381016644,0.5461088618983356,6.59794330740209,80.0
model_E_plus_8,INTARIAN_PEPPER_ROOT,213795.0,7537.0,1269.0,0.24901497241922774,0.7509850275807722,0.24901497241922774,72.15721632271422,80.0
