model,total_pnl,drift_capture_ratio,avg_inventory,avg_inventory_early,avg_inventory_mid,avg_inventory_late,frac_above_20,frac_time_above_20,frac_time_above_40,frac_time_above_60,frac_time_above_80,frac_early_below_60,frac_mid_below_60,frac_late_below_60,frac_early_below_70,frac_mid_below_70,frac_late_below_70,frac_early_below_80,frac_mid_below_80,frac_late_below_80,turnover,buy_qty_total,buy_qty_early,sell_qty_total,sell_qty_late,estimated_upside_lost_after_sells,estimated_upside_lost_after_late_sells,aggressive_fill_share,maker_share,day_-2_pnl,day_-1_pnl,day_0_pnl
model_C,130495.5,0.5430072403462051,50.49642690175649,9.843137254901961,49.01010101010101,50.64077996301899,0.23529411764705882,0.9902157216322715,0.765911974888132,0.2960996460295198,0.0,1.0,0.5858585858585859,0.7032778618255169,1.0,1.0,0.9020675743822492,1.0,1.0,1.0,16673.0,8407.0,90.0,8266.0,8248.0,4032930.0,4015056.0,0.8019142738243862,0.19808572617561382,47917.5,41834.0,40744.0
model_E,208937.5,0.8694136984021305,71.32859146463635,24.96078431372549,65.12121212121212,71.50825348798118,0.6666666666666666,0.9986308688973485,0.9813664596273292,0.8548053162358913,0.3811861350430775,0.9019607843137255,0.31313131313131315,0.14204067910573207,1.0,0.5555555555555556,0.31225416036308623,1.0,1.0,0.616238023197176,8311.0,4248.0,140.0,4063.0,4053.0,1340764.5,1330794.5,0.7595870206489675,0.24041297935103245,74019.5,67587.0,67331.0
model_E_plus_3,213129.0,0.8868550266311584,71.93508314966941,24.96078431372549,65.12121212121212,72.11884350310977,0.6666666666666666,0.998831229546517,0.9860081479997328,0.8766446269952581,0.39387564282374943,0.9019607843137255,0.31313131313131315,0.12005379055303413,1.0,0.5555555555555556,0.29366280047066734,1.0,1.0,0.6034627668515717,7707.0,3948.0,140.0,3759.0,3749.0,1307812.5,1297842.5,0.7513555383423702,0.24864446165762974,74994.0,69313.0,68822.0
model_E_plus_4,213088.0,0.8866844207723036,71.92286115007012,24.96078431372549,65.12121212121212,72.10653891410321,0.6666666666666666,0.998831229546517,0.9860081479997328,0.8766446269952581,0.3924063313965137,0.9019607843137255,0.31313131313131315,0.12005379055303413,1.0,0.5555555555555556,0.29366280047066734,1.0,1.0,0.6049420070600101,7711.0,3950.0,140.0,3761.0,3751.0,1308553.0,1298583.0,0.7515479876160991,0.24845201238390094,74992.0,69297.0,68799.0
model_E_plus_5,213842.0,0.8898219041278296,72.15234088025112,24.96078431372549,65.12121212121212,72.33756933938477,0.6666666666666666,0.998831229546517,0.9869431643625192,0.8808522006277967,0.40329259333466905,0.9019607843137255,0.31313131313131315,0.11581778450159691,1.0,0.5555555555555556,0.28808203059337706,1.0,1.0,0.5939821818793074,7577.0,3883.0,140.0,3694.0,3684.0,1296439.5,1286469.5,0.7519623233908949,0.24803767660910517,74905.0,69290.0,69647.0
model_E_plus_6,213121.0,0.8868217376830893,71.939357510185,24.96078431372549,65.12121212121212,72.1231467473525,0.6666666666666666,0.998831229546517,0.9860081479997328,0.8766446269952581,0.39404261003138985,0.9019607843137255,0.31313131313131315,0.12005379055303413,1.0,0.5555555555555556,0.29352832408808205,1.0,1.0,0.60329467137334,7699.0,3944.0,140.0,3755.0,3745.0,1305274.5,1295304.5,0.7511627906976744,0.24883720930232558,74974.0,69313.0,68834.0
model_E_plus_7,213795.0,0.8896263315579228,72.15721632271422,24.96078431372549,65.12121212121212,72.34247772734913,0.6666666666666666,0.9988646229880451,0.9873104922193281,0.8795164629666733,0.40566352768316305,0.9019607843137255,0.31313131313131315,0.11716254832744999,1.0,0.5555555555555556,0.28996469994957136,1.0,1.0,0.5915952260884182,7537.0,3863.0,140.0,3674.0,3664.0,1288874.0,1278904.0,0.7509850275807722,0.24901497241922774,74875.0,69267.0,69653.0
model_E_plus_8,213795.0,0.8896263315579228,72.15721632271422,24.96078431372549,65.12121212121212,72.34247772734913,0.6666666666666666,0.9988646229880451,0.9873104922193281,0.8795164629666733,0.40566352768316305,0.9019607843137255,0.31313131313131315,0.11716254832744999,1.0,0.5555555555555556,0.28996469994957136,1.0,1.0,0.5915952260884182,7537.0,3863.0,140.0,3674.0,3664.0,1288874.0,1278904.0,0.7509850275807722,0.24901497241922774,74875.0,69267.0,69653.0
