session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,-2,13178.0,6545.0,6633.0,1.3016699418896993,0.9981325580280358,0.6494348700263487,0.9956687258882837,0.6522350718633507,0.9983005934884632
1,-1,13985.0,7151.0,6834.0,1.3622467125459672,0.9968288333552463,0.6671007239030072,0.9916667929345812,0.6951459886429598,0.9962894179901632
2,-2,13678.0,7298.0,6380.0,1.3166622277556224,0.9963084533241678,0.684738205459382,0.9921845278737865,0.6319240222962402,0.9974153423123708
3,-1,14925.25,8116.0,6809.25,1.4809484851874848,0.9984785647534409,0.8060479521864795,0.9971863809705077,0.6749005330010053,0.9975950809603805
4,-2,14307.75,7505.0,6802.75,1.3723351233148513,0.9978959329247707,0.7444965161749652,0.9952743734318389,0.627838607139886,0.9951789987611539
5,-1,13544.25,6750.0,6794.25,1.3289555820445558,0.9984102150754163,0.6708915119109151,0.9967944913803185,0.6580640701336407,0.998102131724302
6,-2,14323.5,7706.0,6617.5,1.4369550583675506,0.9978259143731526,0.8112965433369654,0.9929899341956205,0.6256585150305851,0.9991350869185607
7,-1,12866.0,6209.0,6657.0,1.2398913104774132,0.9987862422972553,0.5581424810594248,0.9938603031941701,0.6817488294179883,0.9971478195301392
8,-2,14641.5,7208.0,7433.5,1.443263194396132,0.9989847315584627,0.71819600803196,0.9949265608637065,0.7250671863641719,0.9982446607899302
9,-1,12774.0,6794.0,5980.0,1.2131514400165144,0.996654583687414,0.6292027049680271,0.9917704274251443,0.5839487350484873,0.9979598036396673
10,-2,13657.0,7141.0,6516.0,1.3871490537894906,0.9984612595388453,0.7113421560034215,0.9964073109464546,0.675806897786069,0.9972621110882413
11,-1,14900.75,7132.0,7768.75,1.4569967238784673,0.9968582551938316,0.6989677721036778,0.9916886470637357,0.7580289517747896,0.9978884417654956
12,-2,13728.25,7265.0,6463.25,1.4250248350022483,0.9982533868489026,0.7684772768567728,0.9971959309735235,0.6565475581454756,0.9980390487968643
13,-1,13247.0,7056.0,6191.0,1.359174692202247,0.9977711641642655,0.7154755147947551,0.9962400087623504,0.6436991774074918,0.9978266915291031
14,-2,13187.0,6924.0,6263.0,1.2975427676689277,0.9980166110276296,0.6856007553580076,0.9979225093656936,0.6119420123109202,0.9958612828010593
15,-1,12395.0,5657.0,6738.0,1.2474859733378598,0.9980338433088121,0.5336618296946183,0.9929510034668833,0.7138241436432414,0.9976651507253144
16,-2,14560.0,7401.0,7159.0,1.5070938614119387,0.9981315135443136,0.7839425782654258,0.9946071144397705,0.7231512831465128,0.9991615001102889
17,-1,13649.0,6697.0,6952.0,1.3098919513509195,0.9972403379432524,0.6382136326721364,0.9948082570876492,0.6716783186787831,0.9971348273066618
18,-2,13229.5,6040.0,7189.5,1.379744703439947,0.9977726841972462,0.637726192847262,0.993787205423515,0.7420185105926851,0.9987761250741586
19,-1,14004.25,6479.0,7525.25,1.4229643827546439,0.9985076219013393,0.6436779518087795,0.9954542315374879,0.7792864309458644,0.9980727128080613
20,-2,12970.0,6976.0,5994.0,1.3269403620604037,0.9974789424919701,0.7237722261017223,0.995280279597554,0.6031681359586814,0.998210331131002
21,-1,13421.5,6763.0,6658.5,1.35023300818133,0.9969672981230054,0.6960857157728572,0.987144303883519,0.6541472924084729,0.997963308445655
22,-2,13049.5,6631.0,6418.5,1.318986906769869,0.9975803636211683,0.6927102492031025,0.9918797162721423,0.6262766575667665,0.998007290307258
23,-1,13200.0,7098.0,6102.0,1.3122691262226913,0.998622546648493,0.69748699296887,0.9962344366260295,0.6147821332538214,0.9987104210971863
24,-2,14284.5,7564.0,6720.5,1.39666100271161,0.9977735512594227,0.7500629215206293,0.9961823897205028,0.6465980811909808,0.9966522447399617
