criterion,v,r,s,gross_value,expected_pnl,p10_pnl,p90_pnl,expected_regret,prob_best_response,broad_sensitivity_range_low,broad_sensitivity_range_high,core_defendable_range_low,core_defendable_range_high
Max EV (central mixture),43,15,42,353248.0165421141,200026.92754841383,175646.18199526882,221784.69844158576,6911.498578264978,0.1414,42,46,42,46
Robust (min expected regret),43,15,42,353248.0165421141,200026.92754841383,175646.18199526882,221784.69844158576,6911.498578264978,0.1414,42,46,42,46
Conservative (best min EV across sensitivity),46,14,40,328595.5604156542,199535.73682092162,181358.09866000144,218911.87699321908,7402.689305757182,0.1989,42,46,42,46
