v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,p10_multiplier,p90_multiplier,mean_rank,p10_rank,p90_rank,expected_regret,p90_regret,prob_best_response,label,group
40,187079.8831021217,33467.10407063195,147208.00923497725,163144.009981238,195016.01147375957,210952.01222002035,226888.01296628115,0.6264,0.08842502246727421,0.5210526315789474,0.7315789473684211,7.498,5.0,10.0,26205.512772144557,52820.391102772934,0.0702,N=20,N
41,197963.60499845797,30935.83487153514,158407.47642609937,173989.3438224433,205153.07861513103,220734.94601147494,236316.8134078188,0.6700463157894737,0.08359469601062038,0.5631578947368421,0.7736842105263158,6.4614,4.0,9.0,15321.790875808292,34439.46827941912,0.1744,N=20,N
42,199469.87578899454,29464.5527505405,153670.94287096075,184126.4109638147,199354.1450102417,214581.87905666867,229809.61310309562,0.6897936842105263,0.08147060774825363,0.5631578947368421,0.7736842105263158,5.9924,4.0,9.0,13815.520085271733,31440.849285899167,0.114,N=20,N
43,199692.0590527324,27766.910200263257,163808.01001233223,178681.6107088423,193555.21140535234,223302.41279837245,238176.01349488256,0.7068463157894738,0.07860457497275967,0.605263157894737,0.8157894736842105,5.5874,3.0,8.0,13593.336821533865,26585.5841864885,0.1176,N=20,N
44,198976.09516880134,26389.583186892007,158831.1258957382,187885.8912377539,202413.2739087618,216940.65657976962,231468.0392507775,0.7216168421052632,0.07648592797990598,0.605263157894737,0.8157894736842105,5.2366,3.0,8.0,14309.300705464948,28576.925735807454,0.083,N=20,N
45,197347.9214614449,25194.268540889698,168040.44883896635,182221.9414463788,196403.43405379125,210584.92666120367,224766.41926861613,0.7343831578947368,0.07480251454140728,0.6473684210526316,0.8157894736842105,4.9334,3.0,7.0,15937.47441282135,28730.07077364155,0.0718,N=20,N
46,199002.10610158366,23290.983179639956,162722.38911118667,190393.59419882073,204229.19674263772,218064.79928645474,231900.40183027176,0.7577768421052631,0.07088039518908358,0.6473684210526316,0.8578947368421053,4.3778,2.0,7.0,14283.289772682596,30341.351812654204,0.1636,N=20,N
47,194039.69053719286,22312.450786723493,170894.04186362863,184383.75434385025,197873.4668240718,211363.17930429342,224852.891784515,0.761717894736842,0.06964356085795059,0.6894736842105263,0.8578947368421053,4.2842,2.0,6.0,19245.705337073414,36351.19166762469,0.0224,N=20,N
48,189163.19810996632,21449.412647076853,165266.33443179162,178412.3701222827,191558.40581277377,204704.44150326485,217850.47719375597,0.7660126315789474,0.06870003895856672,0.6894736842105263,0.8578947368421053,4.1822,2.0,6.0,24122.19776429996,42322.57588919223,0.0138,N=20,N
49,184309.14240849586,20641.150676889432,159746.68483097645,172555.64268324984,185364.60053552318,198173.55838779654,210982.51624006993,0.7702147368421053,0.0678510376219199,0.6894736842105263,0.8578947368421053,4.0824,2.0,6.0,28976.253465770398,47676.47938556425,0.0054,N=20,N
50,181203.7117005637,19473.83723478132,154227.0352301613,166698.91524421694,179170.79525827258,191642.67527232823,204114.5552863839,0.7805473684210527,0.06574398090267082,0.6894736842105263,0.8578947368421053,3.837,2.0,6.0,32081.684173702604,51336.77958746313,0.014,N=20,N
51,178614.81907191628,18151.761159937378,148707.38562934613,172976.989981022,185111.7921568599,197246.59433269786,197246.59433269786,0.7932463157894737,0.0629828710302515,0.6894736842105263,0.8578947368421053,3.5354,2.0,6.0,34670.57680234997,56445.6929857849,0.014,N=20,N
