session_id,total_pnl,max_drawdown,sharpe_like,maker_share,fill_count,max_abs_position
0,53069.5,-1913.0,2.408886339391396,0.47986716479867164,2409.0,80.0
1,55270.0,-1899.0,2.416658961399474,0.48652011613438406,2411.0,80.0
2,60318.0,-1722.0,3.1521166553643125,0.5288870008496177,2354.0,80.0
3,57932.0,-2116.0,2.785052529924505,0.5116079105760963,2326.0,80.0
4,60697.0,-1881.0,2.9855186333039048,0.4900662251655629,2416.0,80.0
5,61975.0,-1931.0,2.8156718564328638,0.5218446601941747,2472.0,80.0
6,57310.0,-2208.0,2.645744182100477,0.52,2325.0,80.0
7,59993.0,-2357.0,2.9547410929073483,0.5067429505516959,2447.0,80.0
8,59963.0,-1848.0,3.208322906339045,0.5142735406902429,2347.0,80.0
9,58360.0,-2047.0,3.104558801632359,0.5052988554472234,2359.0,80.0
