product,P0_mean,P0_median,P0_min,P0_max,P0_std,P0_cv,P0_p25
ASH,22277.666666666668,22167.0,21818.0,22848.0,523.8418972679957,0.02351421740463524,21992.5
PEPPER,80621.16666666667,81022.0,79638.0,81203.5,856.2698659495926,0.010620906411462572,80330.0
TOTAL,102898.83333333333,103370.5,101456.0,103870.0,1274.2452995139254,0.012383476646291022,102413.25
