delta_assumed,cutoff_median,best_bid,plateau95_bid
1100.0,120.0,200,175
1100.0,130.0,200,200
1100.0,140.0,200,200
1100.0,150.0,200,200
1100.0,160.0,200,200
1200.0,20.0,50,40
1200.0,30.0,60,50
1200.0,40.0,75,60
1200.0,50.0,100,75
1200.0,60.0,100,100
1200.0,70.0,125,125
1200.0,80.0,150,125
1200.0,90.0,150,150
1200.0,100.0,175,150
1200.0,110.0,200,175
1200.0,120.0,200,175
1200.0,130.0,200,200
1200.0,140.0,200,200
1200.0,150.0,200,200
1200.0,160.0,200,200
1300.0,20.0,50,40
1300.0,30.0,60,50
1300.0,40.0,75,60
1300.0,50.0,100,75
1300.0,60.0,125,100
1300.0,70.0,125,125
1300.0,80.0,150,125
1300.0,90.0,150,150
1300.0,100.0,175,150
1300.0,110.0,200,175
1300.0,120.0,200,175
1300.0,130.0,200,200
1300.0,140.0,200,200
1300.0,150.0,200,200
1300.0,160.0,200,200
1400.0,20.0,50,40
1400.0,30.0,60,50
1400.0,40.0,75,60
1400.0,50.0,100,75
1400.0,60.0,125,100
1400.0,70.0,125,125
1400.0,80.0,150,125
1400.0,90.0,150,150
1400.0,100.0,175,150
1400.0,110.0,200,175
1400.0,120.0,200,175
1400.0,130.0,200,200
1400.0,140.0,200,200
1400.0,150.0,200,200
1400.0,160.0,200,200
1500.0,20.0,50,40
1500.0,30.0,60,50
1500.0,40.0,75,60
1500.0,50.0,100,75
1500.0,60.0,125,100
1500.0,70.0,125,125
1500.0,80.0,150,125
1500.0,90.0,175,150
1500.0,100.0,175,150
1500.0,110.0,200,175
1500.0,120.0,200,175
1500.0,130.0,200,200
1500.0,140.0,200,200
1500.0,150.0,200,200
1500.0,160.0,200,200
1600.0,20.0,50,40
1600.0,30.0,60,50
1600.0,40.0,75,60
1600.0,50.0,100,75
1600.0,60.0,125,100
1600.0,70.0,125,125
1600.0,80.0,150,125
1600.0,90.0,175,150
1600.0,100.0,175,150
1600.0,110.0,200,175
1600.0,120.0,200,175
1600.0,130.0,200,200
1600.0,140.0,200,200
1600.0,150.0,200,200
1600.0,160.0,200,200
1700.0,20.0,50,40
1700.0,30.0,60,50
1700.0,40.0,75,60
1700.0,50.0,100,75
1700.0,60.0,125,100
1700.0,70.0,125,125
1700.0,80.0,150,125
1700.0,90.0,175,150
1700.0,100.0,175,150
1700.0,110.0,200,175
1700.0,120.0,200,175
1700.0,130.0,200,200
1700.0,140.0,200,200
1700.0,150.0,200,200
1700.0,160.0,200,200
1800.0,20.0,50,40
1800.0,30.0,60,50
1800.0,40.0,75,60
1800.0,50.0,100,75
1800.0,60.0,125,100
1800.0,70.0,125,125
1800.0,80.0,150,125
1800.0,90.0,175,150
1800.0,100.0,175,150
1800.0,110.0,200,175
1800.0,120.0,200,175
1800.0,130.0,200,200
1800.0,140.0,200,200
1800.0,150.0,200,200
1800.0,160.0,200,200
1900.0,20.0,60,40
1900.0,30.0,60,50
1900.0,40.0,75,60
1900.0,50.0,100,75
1900.0,60.0,125,100
1900.0,70.0,125,125
1900.0,80.0,150,125
1900.0,90.0,175,150
1900.0,100.0,175,150
1900.0,110.0,200,175
1900.0,120.0,200,175
1900.0,130.0,200,200
1900.0,140.0,200,200
1900.0,150.0,200,200
1900.0,160.0,200,200
2000.0,20.0,60,40
2000.0,30.0,60,50
2000.0,40.0,75,60
2000.0,50.0,100,75
2000.0,60.0,125,100
2000.0,70.0,125,125
2000.0,80.0,150,125
2000.0,90.0,175,150
2000.0,100.0,175,150
2000.0,110.0,200,175
2000.0,120.0,200,175
2000.0,130.0,200,200
2000.0,140.0,200,200
2000.0,150.0,200,200
2000.0,160.0,200,200
2100.0,20.0,60,40
2100.0,30.0,60,50
2100.0,40.0,75,60
2100.0,50.0,100,75
2100.0,60.0,125,100
2100.0,70.0,125,125
2100.0,80.0,150,125
2100.0,90.0,175,150
2100.0,100.0,175,150
2100.0,110.0,200,175
2100.0,120.0,200,175
2100.0,130.0,200,200
2100.0,140.0,200,200
2100.0,150.0,200,200
2100.0,160.0,200,200
2200.0,20.0,60,40
2200.0,30.0,60,50
2200.0,40.0,75,60
2200.0,50.0,100,75
2200.0,60.0,125,100
2200.0,70.0,125,125
2200.0,80.0,150,125
2200.0,90.0,175,150
2200.0,100.0,175,150
2200.0,110.0,200,175
2200.0,120.0,200,175
2200.0,130.0,200,200
2200.0,140.0,200,200
2200.0,150.0,200,200
2200.0,160.0,200,200
