model,pepper_pnl,drift_capture_ratio,avg_inventory,avg_inventory_early,avg_inventory_mid,avg_inventory_late,frac_above_20,frac_above_40,frac_above_60,frac_above_80,buy_qty_total,sell_qty_total,sell_qty_late,turnover,under_target_share,estimated_upside_lost_after_sells,estimated_upside_lost_after_late_sells,passive_fill_share
model_F2,239411.0,0.9962175432756325,75.29710144927536,29.215686274509803,63.60606060606061,75.49403261052278,0.9990983770787417,0.9977626394176183,0.9698457223001402,0.44286382154544846,2684.0,2460.0,2450.0,5144.0,0.2555266145728979,1147492.5,1137522.5,0.3273986152324431
model_F4,239263.0,0.9956016977363515,75.2504174180191,24.705882352941178,62.64646464646464,75.46569171289292,0.9989314098711013,0.9968944099378882,0.9711814599612636,0.45678888666265943,2671.0,2453.0,2443.0,5124.0,0.19288051826621253,1170552.0,1160582.0,0.34025717111770526
model_F3,238953.0,0.9943117509986684,76.48373739397583,33.3235294117647,63.18181818181818,76.67601277525634,0.999198557403326,0.9978962131837307,0.9822012956655313,0.5555666867027316,2185.0,1948.0,1938.0,4133.0,0.32458425165297533,915514.0,905544.0,0.29498164014687883
model_F5,238790.0,0.9936334886817576,74.42105790422761,22.313725490196077,61.78787878787879,74.64178853588838,0.9982969344820677,0.9953917050691244,0.9602618045815802,0.3802845121218193,2945.0,2721.0,2711.0,5666.0,0.11550791424564216,1292244.0,1282274.0,0.33513513513513515
model_F1,238085.0,0.9906999001331558,73.8808522006278,22.313725490196077,61.78787878787879,74.09793242561776,0.9982969344820677,0.9955252788352368,0.9474053295932678,0.3557069391571495,3133.0,2909.0,2899.0,6042.0,0.12034996326721432,1386931.5,1376961.5,0.3218588640275387
model_E_plus_11,213167.0,0.8870131491344874,71.94837373939758,24.96078431372549,65.12121212121212,72.132223903177,0.998831229546517,0.9860081479997328,0.8766446269952581,0.40078808522006276,3944.0,3755.0,3745.0,7699.0,0.2738262205302879,1305274.5,1295304.5,0.24922118380062305
