model,official_ash_pnl,official_pepper_pnl,official_total_pnl,official_day_-2_total,official_day_-1_total,official_day_0_total,official_min_day_pnl
model_F3,56789.5,237501.0,294290.5,98000.5,99128.0,97162.0,97162.0
model_F2,56789.5,237481.0,294270.5,98445.5,99088.0,96737.0,96737.0
model_F4,56789.5,237229.0,294018.5,98252.5,99072.0,96694.0,96694.0
model_F5,56789.5,235573.0,292362.5,98081.5,98708.0,95573.0,95573.0
model_F1,56789.5,234699.0,291488.5,98035.5,98065.0,95388.0,95388.0
model_E_plus_11,56789.5,206139.0,262928.5,91999.5,86863.0,84066.0,84066.0
