model,ash_pnl,pepper_pnl,total_pnl,day_-2_total,day_-1_total,day_0_total,ash_turnover,pepper_turnover,daily_std
model_F2,62977.5,239411.0,302388.5,101124.5,101373.0,99891.0,12263.0,5144.0,793.6832386622092
model_F4,62977.5,239263.0,302240.5,100874.5,101282.0,100084.0,12263.0,5124.0,609.1182835322983
model_F3,62977.5,238953.0,301930.5,100629.5,101348.0,99953.0,12263.0,4133.0,697.6053683853071
model_F5,62977.5,238790.0,301767.5,100949.5,101159.0,99659.0,12263.0,5666.0,812.3300335044454
model_F1,62977.5,238085.0,301062.5,100942.5,100888.0,99232.0,12263.0,6042.0,972.2068109889651
model_E_plus_11,62977.5,213167.0,276144.5,95084.5,91317.0,89743.0,12263.0,7699.0,2744.7876208066323
