model,P0_mean,P0_median,P0_min,P0_max,P0_std,Delta_conservative_mean,Delta_conservative_min,Delta_conservative_p25,Delta_central_mean,Delta_upper_mean,cons_uplift_pct,central_uplift_pct,sensitivity_class,P1_conservative_mean,P1_central_mean,fee_roi_150_cons,fee_roi_175_cons,fee_roi_200_cons,max_bid_positive_downside,max_bid_positive_conservative,max_bid_positive_central
model_kiko,102898.83333333333,103370.5,101456.0,103870.0,1274.2452995139254,1005.1666666666666,851.0,913.5,1609.8333333333333,6497.166666666667,0.009768494297797352,0.015644816186772444,MAF-light,103904.0,104508.66666666666,5.701111111111111,4.7438095238095235,4.025833333333333,225.0,225.0,225.0
model_G5,101269.0,101150.0,101103.0,101554.0,247.9334588150619,1641.5,1457.0,1538.0,2335.5,6923.0,0.0162093039330891,0.023062338919116413,MAF-heavy,102910.5,103604.5,9.943333333333333,8.38,7.2075,225.0,225.0,225.0
model_G1,101222.66666666667,101157.0,101045.0,101466.0,218.04663109833487,1467.1666666666667,1230.0,1385.0,2285.1666666666665,6877.666666666667,0.014494447883873177,0.022575641819355344,MAF-medium,102689.83333333334,103507.83333333334,8.781111111111112,7.383809523809524,6.335833333333333,225.0,225.0,225.0
model_G4,101021.0,100950.0,100910.0,101203.0,158.88045820679145,1610.8333333333333,1332.0,1535.0,2455.6666666666665,6885.5,0.01594552947736939,0.024308477115319256,MAF-heavy,102631.83333333333,103476.66666666667,9.738888888888889,8.204761904761904,7.054166666666666,225.0,225.0,225.0
model_G2,100767.66666666667,100748.0,100575.0,100980.0,203.21499288520357,1723.6666666666667,1432.0,1625.75,2666.5,7242.833333333333,0.017105354561483016,0.026461861112856967,MAF-heavy,102491.33333333334,103434.16666666667,10.491111111111111,8.84952380952381,7.618333333333334,225.0,225.0,225.0
model_F3,100646.83333333333,100778.0,100273.5,100889.0,328.04509344499166,1533.8333333333333,1380.0,1447.0,2400.5,6848.833333333333,0.015239757501891929,0.0238507255568564,MAF-medium,102180.66666666666,103047.33333333333,9.225555555555555,7.7647619047619045,6.6691666666666665,225.0,225.0,225.0
