model,product,product_label,P0_mean,P0_median,P0_min,P0_max,P0_std,P0_p25,drawdown_mean,fill_count_mean,maker_share_mean,avg_fill_size_mean,avg_abs_position_mean,pct_time_abs_ge_70_mean,pct_time_at_limit_mean,time_to_50_mean,time_to_70_mean,time_to_80_mean
model_kiko,ASH_COATED_OSMIUM,ASH,22277.666666666668,22167.0,21818.0,22848.0,523.8418972679957,21992.5,-1606.6666666666667,675.6666666666666,0.666489423924126,5.687183457586111,27.036064300315243,0.045811848753032125,0.016629129372905383,,,
model_kiko,INTARIAN_PEPPER_ROOT,PEPPER,80621.16666666667,81022.0,79638.0,81203.5,856.2698659495926,80330.0,-1520.0,513.0,0.3827667847490872,5.388759433006754,70.80293845430873,0.6323176241281433,0.2567627558597428,6033.333333333333,11833.333333333334,16700.0
model_kiko,TOTAL,TOTAL,102898.83333333333,103370.5,101456.0,103870.0,1274.2452995139254,102413.25,-1795.1666666666667,1188.6666666666667,0.5440556363925028,5.558533114600359,,,,,,
model_G5,ASH_COATED_OSMIUM,ASH,22638.333333333332,22612.0,22345.0,22958.0,307.3472520347845,22478.5,-1164.3333333333333,753.6666666666666,0.5962051928939346,5.4971436280178,22.568060003816345,0.007612179487179487,0.0009348290598290599,,,
model_G5,INTARIAN_PEPPER_ROOT,PEPPER,78630.66666666667,78538.0,78145.0,79209.0,538.0188968180703,78341.5,-1493.3333333333333,345.0,0.3381451603454135,4.988181189731332,74.57407078904106,0.819878064127153,0.41497709080569817,4500.0,18700.0,25500.0
model_G5,TOTAL,TOTAL,101269.0,101150.0,101103.0,101554.0,247.9334588150619,101126.5,-1731.0,1098.6666666666667,0.5152299397307437,5.337499328678799,,,,,,
model_G1,ASH_COATED_OSMIUM,ASH,22638.333333333332,22612.0,22345.0,22958.0,307.3472520347845,22478.5,-1164.3333333333333,753.6666666666666,0.5962051928939346,5.4971436280178,22.568060003816345,0.007612179487179487,0.0009348290598290599,,,
model_G1,INTARIAN_PEPPER_ROOT,PEPPER,78584.33333333333,78433.0,78199.0,79121.0,479.26749663766407,78316.0,-1493.3333333333333,361.0,0.3220939776341438,5.03835026161896,74.17754429693294,0.7961735462493581,0.3932777943901668,4500.0,16800.0,25900.0
model_G1,TOTAL,TOTAL,101222.66666666667,101157.0,101045.0,101466.0,218.04663109833487,101101.0,-1731.0,1114.6666666666667,0.5075316422996844,5.348723408236776,,,,,,
model_G4,ASH_COATED_OSMIUM,ASH,22638.333333333332,22612.0,22345.0,22958.0,307.3472520347845,22478.5,-1164.3333333333333,753.6666666666666,0.5962051928939346,5.4971436280178,22.568060003816345,0.007612179487179487,0.0009348290598290599,,,
model_G4,INTARIAN_PEPPER_ROOT,PEPPER,78382.66666666667,78298.0,77992.0,78858.0,439.1643579951967,78145.0,-1493.3333333333333,362.6666666666667,0.3319674251938075,5.095592017750555,73.7222343520037,0.7703639003875913,0.3727116946669964,4500.0,16800.0,24000.0
model_G4,TOTAL,TOTAL,101021.0,100950.0,100910.0,101203.0,158.88045820679145,100930.0,-1700.6666666666667,1116.3333333333333,0.5104094592267193,5.367081405840293,,,,,,
model_G2,ASH_COATED_OSMIUM,ASH,22638.333333333332,22612.0,22345.0,22958.0,307.3472520347845,22478.5,-1164.3333333333333,753.6666666666666,0.5962051928939346,5.4971436280178,22.568060003816345,0.007612179487179487,0.0009348290598290599,,,
model_G2,INTARIAN_PEPPER_ROOT,PEPPER,78129.33333333333,77963.0,77790.0,78635.0,446.38137655298,77876.5,-1493.3333333333333,383.0,0.32887984191605363,5.181196224079232,72.92577428705496,0.7221580162506189,0.34560215234022146,4500.0,16800.0,24766.666666666668
model_G2,TOTAL,TOTAL,100767.66666666667,100748.0,100575.0,100980.0,203.21499288520357,100661.5,-1731.0,1136.6666666666667,0.506224478307247,5.391159184636162,,,,,,
model_F3,ASH_COATED_OSMIUM,ASH,22638.333333333332,22612.0,22345.0,22958.0,307.3472520347845,22478.5,-1164.3333333333333,753.6666666666666,0.5962051928939346,5.4971436280178,22.568060003816345,0.007612179487179487,0.0009348290598290599,,,
model_F3,INTARIAN_PEPPER_ROOT,PEPPER,78008.5,77820.0,77661.5,78544.0,470.47927690813333,77740.75,-1493.3333333333333,336.6666666666667,0.2786024945210488,5.147461596870325,74.21725524607264,0.782786270393829,0.41952005326865693,4500.0,18700.0,26700.0
model_F3,TOTAL,TOTAL,100646.83333333333,100778.0,100273.5,100889.0,328.04509344499166,100525.75,-1731.0,1090.3333333333333,0.49833153158489685,5.389539340958773,,,,,,
