model,scenario,scenario_label,proxy_kind,day,day_label,product,product_label,P_d,drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,avg_position,avg_abs_position,max_abs_position,pct_time_abs_ge_60,pct_time_abs_ge_70,pct_time_at_limit,final_position,time_to_50,time_to_70,time_to_80
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,81247.0,-1360.0,490.0,0.38571428571428573,0.6142857142857143,6.742857142857143,72.53970161209573,72.53970161209573,80.0,0.92830679883849,0.6907980374486833,0.33303294282567336,78.0,1500.0,2700.0,5700.0
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,-1,día -1,TOTAL,TOTAL,104968.0,-1878.0,1159.0,0.543572044866264,0.45642795513373596,6.727351164797239,,,,,,,,,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,0,día 0,ASH_COATED_OSMIUM,ASH,24166.0,-1600.0,677.0,0.6750369276218612,0.3249630723781389,6.692762186115214,16.075520833333332,20.880408653846153,80.0,0.04587339743589743,0.031850961538461536,0.008814102564102564,29.0,,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,81024.0,-1520.0,500.0,0.368,0.632,6.98,70.67231015828492,70.67231015828492,80.0,0.8454217591664998,0.6424564215588059,0.2693848928070527,80.0,400.0,2700.0,9900.0
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,0,día 0,TOTAL,TOTAL,105190.0,-1926.0,1177.0,0.5446049277824979,0.45539507221750214,6.814783347493628,,,,,,,,,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,1,día 1,ASH_COATED_OSMIUM,ASH,23147.0,-1827.0,681.0,0.6549192364170338,0.34508076358296624,6.751835535976505,18.529063940669474,24.580978151934254,80.0,0.07556624574062938,0.04279414712367208,0.019342553617959512,34.0,,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,80221.0,-1680.0,512.0,0.380859375,0.619140625,6.93359375,68.03976362179488,68.03976362179488,80.0,0.7638221153846154,0.5649038461538461,0.28125,74.0,14400.0,17400.0,19900.0
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,1,día 1,TOTAL,TOTAL,103368.0,-1720.0,1193.0,0.537300922045264,0.46269907795473597,6.829840737636212,,,,,,,,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,-1,día -1,ASH_COATED_OSMIUM,ASH,27594.0,-1600.0,669.0,0.6621823617339312,0.33781763826606875,7.043348281016442,38.623835753630445,39.58587881822734,80.0,0.21061592388582875,0.10035052578868302,0.028042063094641963,30.0,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,82191.5,-1360.0,493.0,0.39148073022312374,0.6085192697768763,6.716024340770791,72.03674777210374,72.03674777210374,80.0,0.9226995093621708,0.6881946530489637,0.31891458896565533,79.0,1400.0,5700.0,14400.0
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,-1,día -1,TOTAL,TOTAL,109785.5,-1854.0,1162.0,0.5473321858864028,0.45266781411359724,6.90447504302926,,,,,,,,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,0,día 0,ASH_COATED_OSMIUM,ASH,28159.0,-1600.0,676.0,0.6745562130177515,0.3254437869822485,7.071005917159764,12.473657852564102,19.766726762820515,80.0,0.04366987179487179,0.03195112179487179,0.013621794871794872,22.0,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,81921.0,-1520.0,510.0,0.36666666666666664,0.6333333333333333,6.898039215686275,70.26507713884993,70.26507713884993,80.0,0.8432177920256462,0.6231216189140453,0.2614706471648968,80.0,1000.0,9900.0,12600.0
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,0,día 0,TOTAL,TOTAL,110080.0,-1926.0,1186.0,0.5421585160202361,0.45784148397976393,6.996627318718381,,,,,,,,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,1,día 1,ASH_COATED_OSMIUM,ASH,26855.0,-1610.0,679.0,0.6568483063328424,0.3431516936671576,7.092783505154639,19.1180597314091,23.760873922629784,80.0,0.07215874924834637,0.04329524954900782,0.01723792343154941,34.0,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,81467.5,-1680.0,516.0,0.38372093023255816,0.6162790697674418,6.932170542635659,67.57301682692308,67.57301682692308,80.0,0.7522035256410257,0.5409655448717948,0.26181891025641024,75.0,14400.0,17400.0,19900.0
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,1,día 1,TOTAL,TOTAL,108322.5,-1719.0,1195.0,0.5389121338912134,0.4610878661087866,7.023430962343096,,,,,,,,,,
model_G5,baseline,Baseline,baseline,-1,día -1,ASH_COATED_OSMIUM,ASH,22612.0,-1120.0,750.0,0.6,0.4,5.497333333333334,18.429444166249375,21.801702553830747,61.0,0.0012018027040560841,0.0,0.0,11.0,,,
model_G5,baseline,Baseline,baseline,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,78538.0,-1360.0,327.0,0.345565749235474,0.654434250764526,4.92354740061162,75.36697707019125,75.36697707019125,80.0,0.9581455892660459,0.8658255732452188,0.4766196054871333,80.0,5700.0,23100.0,25500.0
model_G5,baseline,Baseline,baseline,-1,día -1,TOTAL,TOTAL,101150.0,-1523.0,1077.0,0.5227483751160631,0.47725162488393685,5.323119777158774,,,,,,,,,,
model_G5,baseline,Baseline,baseline,0,día 0,ASH_COATED_OSMIUM,ASH,22958.0,-1233.0,756.0,0.5952380952380952,0.40476190476190477,5.4563492063492065,9.513721955128204,26.17998798076923,80.0,0.04657451923076923,0.02283653846153846,0.0028044871794871795,-25.0,,,
model_G5,baseline,Baseline,baseline,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,78145.0,-1440.0,348.0,0.3160919540229885,0.6839080459770115,5.063218390804598,74.3346022841114,74.3346022841114,80.0,0.9583249849729513,0.7926267281105991,0.4118413143658585,80.0,2700.0,9900.0,12600.0
model_G5,baseline,Baseline,baseline,0,día 0,TOTAL,TOTAL,101103.0,-1981.0,1104.0,0.5072463768115942,0.4927536231884058,5.332427536231884,,,,,,,,,,
model_G5,baseline,Baseline,baseline,1,día 1,ASH_COATED_OSMIUM,ASH,22345.0,-1140.0,755.0,0.5933774834437087,0.4066225165562914,5.537748344370861,15.457907396271798,19.722489476849066,65.0,0.002305071156544398,0.0,0.0,39.0,,,
model_G5,baseline,Baseline,baseline,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,79209.0,-1680.0,360.0,0.3527777777777778,0.6472222222222223,4.977777777777778,74.02063301282051,74.02063301282051,80.0,0.9455128205128205,0.8011818910256411,0.3564703525641026,76.0,5100.0,23100.0,38400.0
model_G5,baseline,Baseline,baseline,1,día 1,TOTAL,TOTAL,101554.0,-1689.0,1115.0,0.515695067264574,0.484304932735426,5.35695067264574,,,,,,,,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,-1,día -1,ASH_COATED_OSMIUM,ASH,23353.0,-1100.0,751.0,0.5992010652463382,0.4007989347536618,6.090545938748336,19.37336004006009,22.673710565848772,63.0,0.005508262393590386,0.0,0.0,18.0,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,79416.0,-1360.0,310.0,0.36774193548387096,0.632258064516129,5.548387096774194,75.35526184039252,75.35526184039252,80.0,0.9590467607890257,0.8815460098127565,0.4720136177030139,78.0,5300.0,17400.0,23100.0
model_G5,uniform_depth_125,Uniform depth +25%,conservative,-1,día -1,TOTAL,TOTAL,102769.0,-1504.0,1061.0,0.5315739868049011,0.46842601319509897,5.932139491046183,,,,,,,,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,0,día 0,ASH_COATED_OSMIUM,ASH,23385.0,-1292.0,745.0,0.6013422818791946,0.39865771812080536,6.012080536912752,9.240985576923077,28.202123397435898,80.0,0.05108173076923077,0.025741185897435896,0.01171875,-21.0,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,79175.0,-1440.0,325.0,0.3230769230769231,0.676923076923077,5.667692307692308,74.6500701262272,74.6500701262272,80.0,0.9629332799038269,0.819675415748347,0.4507112803045482,80.0,800.0,5100.0,9900.0
model_G5,uniform_depth_125,Uniform depth +25%,conservative,0,día 0,TOTAL,TOTAL,102560.0,-1958.0,1070.0,0.516822429906542,0.48317757009345796,5.907476635514018,,,,,,,,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,1,día 1,ASH_COATED_OSMIUM,ASH,23192.0,-1348.0,753.0,0.5949535192563081,0.4050464807436919,6.148738379814077,13.645319703347365,20.779615153337343,63.0,0.004710362798155943,0.0,0.0,48.0,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,80210.5,-1680.0,345.0,0.3565217391304348,0.6434782608695652,5.597101449275362,74.06620592948718,74.06620592948718,80.0,0.9506209935897436,0.8183092948717948,0.3815104166666667,75.0,5100.0,23100.0,38400.0
model_G5,uniform_depth_125,Uniform depth +25%,conservative,1,día 1,TOTAL,TOTAL,103402.5,-1686.0,1098.0,0.5200364298724954,0.47996357012750457,5.975409836065574,,,,,,,,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,-1,día -1,ASH_COATED_OSMIUM,ASH,24055.0,-1141.0,745.0,0.6026845637583893,0.39731543624161075,6.587919463087248,18.147120681021534,22.25287931897847,66.0,0.010115172759138709,0.0,0.0,22.0,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,79194.5,-1360.0,297.0,0.3602693602693603,0.6397306397306397,5.98989898989899,75.00771002302994,75.00771002302994,80.0,0.9675578251727246,0.8322819665565235,0.4803244217482728,77.0,5700.0,12600.0,17400.0
model_G5,front_bias_depth_25,Front-biased depth +25%,central,-1,día -1,TOTAL,TOTAL,103249.5,-1448.0,1042.0,0.5335892514395394,0.46641074856046066,6.417466410748561,,,,,,,,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,0,día 0,ASH_COATED_OSMIUM,ASH,23776.0,-1292.0,740.0,0.6040540540540541,0.39594594594594595,6.468918918918919,9.952524038461538,29.608173076923077,80.0,0.06710737179487179,0.034254807692307696,0.01282051282051282,-13.0,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,79665.0,-1440.0,332.0,0.32831325301204817,0.6716867469879518,5.969879518072289,74.64225606090963,74.64225606090963,80.0,0.9596273291925466,0.8203766780204368,0.45221398517331196,80.0,800.0,4800.0,5700.0
model_G5,front_bias_depth_25,Front-biased depth +25%,central,0,día 0,TOTAL,TOTAL,103441.0,-1935.0,1072.0,0.5186567164179104,0.48134328358208955,6.314365671641791,,,,,,,,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,1,día 1,ASH_COATED_OSMIUM,ASH,23913.0,-1377.0,757.0,0.5918097754293263,0.4081902245706737,6.642007926023778,15.222088594908799,23.646622569653236,64.0,0.005712567648827421,0.0,0.0,58.0,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,80210.0,-1680.0,335.0,0.3611940298507463,0.6388059701492538,5.832835820895522,73.98607772435898,73.98607772435898,80.0,0.9364983974358975,0.8067908653846154,0.4092548076923077,74.0,2700.0,23100.0,38400.0
model_G5,front_bias_depth_25,Front-biased depth +25%,central,1,día 1,TOTAL,TOTAL,104123.0,-1684.0,1092.0,0.5210622710622711,0.47893772893772896,6.393772893772894,,,,,,,,,,
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,-1,día -1,ASH_COATED_OSMIUM,ASH,27943.0,-1100.0,755.0,0.5960264900662252,0.40397350993377484,6.768211920529802,17.116775162744116,21.75733600400601,63.0,0.005508262393590386,0.0,0.0,16.0,,,
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,80065.5,-1360.0,305.0,0.3704918032786885,0.6295081967213115,6.0426229508196725,75.32522278962651,75.32522278962651,80.0,0.9636527485731451,0.8938620206268149,0.4959447281465906,79.0,5300.0,17400.0,23100.0
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,-1,día -1,TOTAL,TOTAL,108008.5,-1523.0,1060.0,0.5311320754716982,0.4688679245283019,6.559433962264151,,,,,,,,,,
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,0,día 0,ASH_COATED_OSMIUM,ASH,27687.0,-1275.0,753.0,0.5962815405046481,0.4037184594953519,6.671978751660027,7.736278044871795,28.16015625,80.0,0.04977964743589743,0.024739583333333332,0.008513621794871794,-20.0,,,
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,80127.0,-1440.0,329.0,0.331306990881459,0.668693009118541,5.963525835866261,74.88699659386896,74.88699659386896,80.0,0.9806651973552394,0.8313965137247045,0.45562011620917653,80.0,800.0,5100.0,9900.0
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,0,día 0,TOTAL,TOTAL,107814.0,-1962.5,1082.0,0.5157116451016636,0.48428835489833644,6.456561922365989,,,,,,,,,,
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,1,día 1,ASH_COATED_OSMIUM,ASH,27623.0,-1321.0,754.0,0.5941644562334217,0.40583554376657827,6.874005305039788,14.26347965524153,21.26247745039086,66.0,0.0044097013429545,0.0,0.0,43.0,,,
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,81130.5,-1680.0,339.0,0.35103244837758113,0.6489675516224189,6.04424778761062,74.21844951923077,74.21844951923077,80.0,0.9506209935897436,0.8392427884615384,0.42247596153846156,75.0,5100.0,17400.0,23100.0
