model,scenario,scenario_label,proxy_kind,product,product_label,Delta_mean,Delta_median,Delta_min,Delta_max,Delta_std,Delta_p25,fill_count_change_mean,maker_share_change_mean,avg_fill_size_change_mean,avg_abs_position_change_mean,time_to_70_change_mean,time_to_80_change_mean
model_G1,front_bias_depth_25,Front-biased depth +25%,central,ASH_COATED_OSMIUM,ASH,1276.3333333333333,1443.0,818.0,1568.0,401.8187817080398,1130.5,-6.333333333333333,0.003310938186655288,1.069138474658848,2.6011649847019123,,
model_G1,front_bias_depth_25,Front-biased depth +25%,central,INTARIAN_PEPPER_ROOT,PEPPER,1008.8333333333334,1024.0,752.5,1250.0,249.09653416563896,888.25,-31.333333333333332,0.00885881403971043,1.147920551691702,-0.18459266418031461,-1400.0,-2100.0
model_G1,front_bias_depth_25,Front-biased depth +25%,central,TOTAL,TOTAL,2285.1666666666665,2195.5,2068.0,2592.0,273.2655911989897,2131.75,-37.666666666666664,0.00974478362883622,1.1027352137591866,,,
model_G1,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,ASH_COATED_OSMIUM,ASH,5112.666666666667,5278.0,4729.0,5331.0,333.32016640661476,5003.5,0.3333333333333333,-0.0007143639591696097,1.2742550310587382,1.1585965643159426,,
model_G1,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,INTARIAN_PEPPER_ROOT,PEPPER,1765.0,1824.0,1519.5,1951.5,221.96114524844208,1671.75,-25.0,0.01263242194985098,1.1513993580909812,0.23235361296751003,-1600.0,-2100.0
model_G1,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,TOTAL,TOTAL,6877.666666666667,6850.5,6553.0,7229.5,339.067225389499,6701.75,-24.666666666666668,0.007549829293459913,1.243782700032404,,,
model_G4,uniform_depth_125,Uniform depth +25%,conservative,ASH_COATED_OSMIUM,ASH,671.6666666666666,741.0,427.0,847.0,218.4155061650462,584.0,-4.0,0.002293762566679014,0.5866446571405876,1.317089701724323,,
model_G4,uniform_depth_125,Uniform depth +25%,conservative,INTARIAN_PEPPER_ROOT,PEPPER,939.1666666666666,915.5,905.0,997.0,50.359540638625106,910.25,-16.666666666666668,0.010468377981486162,0.7363725951253137,0.03420702568550382,-1600.0,-2100.0
model_G4,uniform_depth_125,Uniform depth +25%,conservative,TOTAL,TOTAL,1610.8333333333333,1738.0,1332.0,1762.5,241.78726875775186,1535.0,-20.666666666666668,0.007197743514619992,0.6370919554806314,,,
model_G4,front_bias_depth_25,Front-biased depth +25%,central,ASH_COATED_OSMIUM,ASH,1276.3333333333333,1443.0,818.0,1568.0,401.8187817080398,1130.5,-6.333333333333333,0.003310938186655288,1.069138474658848,2.6011649847019123,,
model_G4,front_bias_depth_25,Front-biased depth +25%,central,INTARIAN_PEPPER_ROOT,PEPPER,1179.3333333333333,1150.0,955.0,1433.0,240.34627796854548,1052.5,-24.333333333333332,0.009581056488713343,1.1428164313810256,-0.09005331119661737,-3000.0,-2100.0
model_G4,front_bias_depth_25,Front-biased depth +25%,central,TOTAL,TOTAL,2455.6666666666665,2523.0,2251.0,2593.0,180.66912667451882,2387.0,-30.666666666666668,0.008646614839160368,1.0982578117774635,,,
model_G4,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,ASH_COATED_OSMIUM,ASH,5112.666666666667,5278.0,4729.0,5331.0,333.32016640661476,5003.5,0.3333333333333333,-0.0007143639591696097,1.2742550310587382,1.1585965643159426,,
model_G4,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,INTARIAN_PEPPER_ROOT,PEPPER,1772.8333333333333,1910.0,1477.0,1931.5,256.42461530308145,1693.5,-20.333333333333332,0.00872232018795512,1.036050746531694,0.23073857970486245,-5100.0,-7200.0
model_G4,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,TOTAL,TOTAL,6885.5,6808.0,6639.0,7209.5,293.0396730819907,6723.5,-20.0,0.005405941437775841,1.2054129052653566,,,
model_G2,uniform_depth_125,Uniform depth +25%,conservative,ASH_COATED_OSMIUM,ASH,671.6666666666666,741.0,427.0,847.0,218.4155061650462,584.0,-4.0,0.002293762566679014,0.5866446571405876,1.317089701724323,,
model_G2,uniform_depth_125,Uniform depth +25%,conservative,INTARIAN_PEPPER_ROOT,PEPPER,1052.0,1072.5,1005.0,1078.5,40.813600674285034,1038.75,-23.0,0.008178583246941484,0.8071169930581155,0.0970629263378271,-1900.0,-5166.666666666667
model_G2,uniform_depth_125,Uniform depth +25%,conservative,TOTAL,TOTAL,1723.6666666666667,1819.5,1432.0,1919.5,257.4919092580063,1625.75,-27.0,0.007505137826378849,0.6618114536806218,,,
model_G2,front_bias_depth_25,Front-biased depth +25%,central,ASH_COATED_OSMIUM,ASH,1276.3333333333333,1443.0,818.0,1568.0,401.8187817080398,1130.5,-6.333333333333333,0.003310938186655288,1.069138474658848,2.6011649847019123,,
model_G2,front_bias_depth_25,Front-biased depth +25%,central,INTARIAN_PEPPER_ROOT,PEPPER,1390.1666666666667,1337.5,1318.0,1515.0,108.54760860255435,1327.75,-23.0,0.009995499070470704,1.1857453162465905,-0.08545279696224384,-3300.0,-6066.666666666667
model_G2,front_bias_depth_25,Front-biased depth +25%,central,TOTAL,TOTAL,2666.5,2780.5,2333.0,2886.0,293.597087860217,2556.75,-29.333333333333332,0.008603758433778697,1.111166676860548,,,
model_G2,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,ASH_COATED_OSMIUM,ASH,5112.666666666667,5278.0,4729.0,5331.0,333.32016640661476,5003.5,0.3333333333333333,-0.0007143639591696097,1.2742550310587382,1.1585965643159426,,
model_G2,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,INTARIAN_PEPPER_ROOT,PEPPER,2130.1666666666665,2131.0,2102.0,2157.5,27.759382798133917,2116.5,-22.666666666666668,0.00903421288305569,1.1898897499517338,0.19942762560131655,0.0,0.0
model_G2,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,TOTAL,TOTAL,7242.833333333333,7433.0,6860.0,7435.5,331.54574847724007,7146.5,-22.333333333333332,0.0059617581829939,1.2511119250038079,,,
model_F3,uniform_depth_125,Uniform depth +25%,conservative,ASH_COATED_OSMIUM,ASH,671.6666666666666,741.0,427.0,847.0,218.4155061650462,584.0,-4.0,0.002293762566679014,0.5866446571405876,1.317089701724323,,
model_F3,uniform_depth_125,Uniform depth +25%,conservative,INTARIAN_PEPPER_ROOT,PEPPER,862.1666666666666,860.5,639.0,1087.0,224.00465024934937,749.75,-20.333333333333332,0.01595107023234632,0.7926164476883208,0.027923951758969185,-5400.0,-8000.0
model_F3,uniform_depth_125,Uniform depth +25%,conservative,TOTAL,TOTAL,1533.8333333333333,1514.0,1380.0,1707.5,164.64836268039028,1447.0,-24.333333333333332,0.01014904031626083,0.651831143627029,,,
model_F3,front_bias_depth_25,Front-biased depth +25%,central,ASH_COATED_OSMIUM,ASH,1276.3333333333333,1443.0,818.0,1568.0,401.8187817080398,1130.5,-6.333333333333333,0.003310938186655288,1.069138474658848,2.6011649847019123,,
model_F3,front_bias_depth_25,Front-biased depth +25%,central,INTARIAN_PEPPER_ROOT,PEPPER,1124.1666666666667,1157.0,756.5,1459.0,352.39903991545344,956.75,-33.0,0.0024011865533890564,1.2399100128840208,-0.045986694772731575,-3300.0,-2900.0
model_F3,front_bias_depth_25,Front-biased depth +25%,central,TOTAL,TOTAL,2400.5,2277.0,2199.5,2725.0,283.6842434820799,2238.25,-39.333333333333336,0.009490774129838916,1.1261681400952703,,,
model_F3,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,ASH_COATED_OSMIUM,ASH,5112.666666666667,5278.0,4729.0,5331.0,333.32016640661476,5003.5,0.3333333333333333,-0.0007143639591696097,1.2742550310587382,1.1585965643159426,,
model_F3,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,INTARIAN_PEPPER_ROOT,PEPPER,1736.1666666666667,1844.5,1281.0,2083.0,411.82894912006043,1562.75,-23.0,0.019509414458479257,1.0872948095168777,0.27191907252771824,-3500.0,-2833.3333333333335
model_F3,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,TOTAL,TOTAL,6848.833333333333,6812.0,6612.0,7122.5,257.23546282216483,6712.0,-22.666666666666668,0.009980549838766747,1.2243589650355409,,,
