model,P0_gap_vs_kiko,Delta_cons_gap_vs_kiko,Delta_cent_gap_vs_kiko,q_star_cons_to_match_kiko,q_star_cent_to_match_kiko,P1_cons_minus_kiko,P1_cent_minus_kiko,switch_from_kiko_justified_cons,switch_from_kiko_justified_cent
model_G2,2131.166666666657,718.5000000000001,1056.6666666666667,2.9661331477615263,2.0168769716088235,-1412.666666666657,-1074.4999999999854,False,False
model_G5,1629.8333333333285,636.3333333333334,725.6666666666667,2.56128863279203,2.2459807073954914,-993.5,-904.166666666657,False,False
model_G4,1877.8333333333285,605.6666666666666,845.8333333333333,3.100440286186013,2.2200985221674823,-1272.1666666666715,-1031.9999999999854,False,False
model_F3,2252.0,528.6666666666666,790.6666666666667,4.259773013871375,2.8482293423271496,-1723.333333333343,-1461.3333333333285,False,False
model_G1,1676.166666666657,462.0000000000001,675.3333333333333,3.628066378066356,2.481984205330687,-1214.166666666657,-1000.8333333333139,False,False
