model,scenario,scenario_label,proxy_kind,day,day_label,product,product_label,P1_d,drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,avg_position,avg_abs_position,max_abs_position,pct_time_abs_ge_60,pct_time_abs_ge_70,pct_time_at_limit,final_position,time_to_50,time_to_70,time_to_80,P0_d,drawdown_P0,fill_count_P0,maker_share_P0,avg_fill_size_P0,avg_abs_position_P0,pct_time_abs_ge_70_P0,pct_time_at_limit_P0,time_to_50_P0,time_to_70_P0,time_to_80_P0,Delta_d,fill_count_change,maker_share_change,avg_fill_size_change,avg_abs_position_change,pct_time_abs_ge_70_change,pct_time_at_limit_change,time_to_70_change,time_to_80_change
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,-1,día -1,ASH_COATED_OSMIUM,ASH,23041.0,-1676.0,669.0,0.6606875934230194,0.3393124065769806,6.249626307922272,39.656685027541315,40.46409614421633,80.0,0.1971957936905358,0.0772158237356034,0.02543815723585378,31.0,,,,22167.0,-1620.0,669.0,0.6651718983557549,5.678624813153961,41.55373059589384,0.07080620931397096,0.023535302954431646,,,,874.0,0.0,-0.004484304932735439,0.5710014947683106,-1.0896344516775116,0.006409614421632445,0.0019028542814221346,,
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,81305.5,-1360.0,490.0,0.3877551020408163,0.6122448979591837,6.1938775510204085,72.84800240312406,72.84800240312406,80.0,0.9420246320216281,0.7054170421548013,0.32812656453389405,79.0,1400.0,5700.0,11300.0,81203.5,-1360.0,500.0,0.39,5.294,73.05387003104035,0.7056173024932412,0.30599779713627717,2700.0,5700.0,12600.0,102.0,-10.0,-0.0022448979591837004,0.8998775510204089,-0.20586762791629099,-0.00020026033843989488,0.022128767397616877,0.0,-1300.0
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,-1,día -1,TOTAL,TOTAL,104346.5,-1882.5,1159.0,0.545297670405522,0.454702329594478,6.226056945642796,,,,,,,,,,,103370.5,-1825.5,1169.0,0.5474764756201882,5.514114627887083,,,,,,,976.0,-10.0,-0.0021788052146661796,0.7119423177557129,,,,,
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,0,día 0,ASH_COATED_OSMIUM,ASH,23530.0,-1600.0,676.0,0.6760355029585798,0.3239644970414201,6.235207100591716,13.759314903846153,18.749098557692307,80.0,0.04517227564102564,0.028044871794871796,0.009915865384615384,25.0,,,,22848.0,-1600.0,680.0,0.6735294117647059,5.688235294117647,17.92918669871795,0.028745993589743588,0.009815705128205128,,,,682.0,-4.0,0.002506091193873905,0.546971806474069,0.8199118589743577,-0.0007011217948717924,0.00010016025641025605,,
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,81191.0,-1520.0,507.0,0.3668639053254438,0.6331360946745562,6.347140039447732,71.25866559807653,71.25866559807653,80.0,0.9061310358645562,0.6652975355640153,0.26117010619114406,80.0,1000.0,9900.0,12600.0,81022.0,-1520.0,516.0,0.3701550387596899,5.457364341085271,71.38709677419355,0.6471648968142657,0.23802845121218194,1000.0,9900.0,14400.0,169.0,-9.0,-0.0032911334342461407,0.8897756983624605,-0.1284311761170187,0.018132638749749574,0.023141654978962117,0.0,-1800.0
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,0,día 0,TOTAL,TOTAL,104721.0,-1850.0,1183.0,0.5435333896872359,0.45646661031276414,6.283178360101437,,,,,,,,,,,103870.0,-1850.0,1196.0,0.5426421404682275,5.588628762541806,,,,,,,851.0,-13.0,0.0008912492190084054,0.6945495975596314,,,,,
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,1,día 1,ASH_COATED_OSMIUM,ASH,22505.0,-1600.0,679.0,0.658321060382916,0.34167893961708395,6.2739322533136965,19.908699138103827,23.801062337141712,80.0,0.0724594107035478,0.04279414712367208,0.01723792343154941,30.0,,,,21818.0,-1600.0,678.0,0.6607669616519174,5.6946902654867255,21.625275606333936,0.03788334335538184,0.016536380036079375,,,,687.0,1.0,-0.0024459012690013493,0.579241987826971,2.1757867308077756,0.004910803768290235,0.0007015433954700341,,
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,80139.5,-1680.0,515.0,0.3864077669902913,0.6135922330097088,6.328155339805825,68.27954727564102,68.27954727564102,80.0,0.7788461538461539,0.5793269230769231,0.2709334935897436,75.0,14400.0,17400.0,19900.0,79638.0,-1680.0,523.0,0.3881453154875717,5.41491395793499,67.9678485576923,0.5441706730769231,0.22626201923076922,14400.0,19900.0,23100.0,501.5,-8.0,-0.0017375484972804167,0.9132413818708347,0.3116987179487154,0.03515625,0.044671474358974395,-2500.0,-3200.0
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,1,día 1,TOTAL,TOTAL,102644.5,-1720.0,1194.0,0.541038525963149,0.45896147403685095,6.297319932998325,,,,,,,,,,,101456.0,-1710.0,1201.0,0.5420482930890924,5.57285595337219,,,,,,,1188.5,-7.0,-0.0010097671259433616,0.724463979626135,,,,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,-1,día -1,ASH_COATED_OSMIUM,ASH,23721.0,-1688.0,669.0,0.6591928251121076,0.34080717488789236,6.715994020926757,38.20250375563345,39.25127691537306,80.0,0.20220330495743616,0.10615923885828743,0.027240861291937906,35.0,,,,22167.0,-1620.0,669.0,0.6651718983557549,5.678624813153961,41.55373059589384,0.07080620931397096,0.023535302954431646,,,,1554.0,0.0,-0.005979073243647215,1.0373692077727954,-2.3024536805207774,0.035353029544316475,0.00370555833750626,,
