product,day,model,r2,bic,sse
ASH_COATED_OSMIUM,-2,intercept,0.0,32998.33846388413,271957.33971148066
ASH_COATED_OSMIUM,-2,linear,0.005888296428102846,32948.59629724309,270355.9742794612
ASH_COATED_OSMIUM,-2,quadratic,0.10075103428555954,31956.713591905358,244557.3564539997
ASH_COATED_OSMIUM,-1,intercept,0.0,29815.733611159467,197672.55153761394
ASH_COATED_OSMIUM,-1,linear,0.003270761222713081,29792.236725613424,197026.01182124997
ASH_COATED_OSMIUM,-1,quadratic,0.05171694977415908,29304.03117613173,187449.5301180133
ASH_COATED_OSMIUM,0,intercept,-2.220446049250313e-16,34711.71135074381,322563.3382986181
ASH_COATED_OSMIUM,0,linear,0.006175992860918522,34659.055590202035,320571.1894240917
ASH_COATED_OSMIUM,0,quadratic,0.020400349308636545,34524.30468300159,315982.93352316634
INTARIAN_PEPPER_ROOT,-2,intercept,0.0,113136.22572954706,832188985.7291666
INTARIAN_PEPPER_ROOT,-2,linear,0.9999515580938375,13952.943902740095,40312.820756163725
INTARIAN_PEPPER_ROOT,-2,quadratic,0.9999515584044075,13962.08863235537,40312.5623032156
INTARIAN_PEPPER_ROOT,-1,intercept,1.1102230246251565e-16,113121.20387456848,831798043.4846739
INTARIAN_PEPPER_ROOT,-1,linear,0.9999408255035284,15945.708734593552,49221.2303893232
INTARIAN_PEPPER_ROOT,-1,quadratic,0.9999408302154956,15954.122412090528,49217.310984163705
INTARIAN_PEPPER_ROOT,0,intercept,0.0,113080.16559421079,831821780.5424893
INTARIAN_PEPPER_ROOT,0,linear,0.9999331956444967,17153.839646182034,55569.317942760885
INTARIAN_PEPPER_ROOT,0,quadratic,0.9999332246430783,17158.715237638167,55545.19629095633
