product,horizon,imbalance_corr_future_return,imbalance_corr_future_residual,micro_corr_future_return,micro_corr_future_residual,spread_corr_future_abs_return,spread_corr_future_return,imbalance_directional_hit_rate,microprice_mse_ratio_vs_mid
ASH_COATED_OSMIUM,1,0.5869028343878635,0.5869029812085961,0.4996240922011188,0.4996242456387144,-0.4093518389907586,-0.053227904838186596,0.6021102338298553,0.9301490533685884
ASH_COATED_OSMIUM,5,0.5479968345225918,0.547996849804211,0.46622916933806385,0.4662291854350516,-0.40060880500809953,-0.053351319021706915,0.49075176081362687,0.9552658216656194
ASH_COATED_OSMIUM,10,0.5205506624490986,0.5205506040702278,0.44196100361138635,0.441960821960127,-0.38377934177918355,-0.05283011947538952,0.4346823610511283,0.949889825669139
ASH_COATED_OSMIUM,20,0.46988522620098316,0.469885822323253,0.4017785539230503,0.40177904729464603,-0.32337647313713536,-0.053975870799352434,0.38439664647155974,0.9575995181424641
ASH_COATED_OSMIUM,50,0.3846442212625589,0.38464521734581614,0.32931087247354435,0.3293115550441193,-0.24545341045220748,-0.041695914369304414,0.32359895652306875,0.9710454209395131
ASH_COATED_OSMIUM,100,0.31762534816475907,0.31762608387942065,0.2721984327465908,0.2721988003016944,-0.17855210108717065,-0.03638449134616974,0.292860007783534,0.9772013211774668
INTARIAN_PEPPER_ROOT,1,0.5639038959238759,0.5639456054867463,0.45685935052955823,0.45689618177906777,-0.28414230339242347,-0.05783538103044485,0.6327578522742622,0.9017026263289297
INTARIAN_PEPPER_ROOT,5,0.5607759844978801,0.5611281242397941,0.455597379857718,0.4560062021942362,-0.3126329130620728,-0.05153002164125212,0.3737894452057466,0.9047793570695793
INTARIAN_PEPPER_ROOT,10,0.5667032702092287,0.5670280315204849,0.46082247970741497,0.4611492294161231,-0.33075432114579634,-0.057168304591553566,0.2814676886395651,0.9200633338849605
INTARIAN_PEPPER_ROOT,20,0.5649117114164586,0.5660429532301025,0.4605227338444637,0.46145938164105305,-0.2617404002407405,-0.05847139856327473,0.1950829093563096,0.955281817338243
INTARIAN_PEPPER_ROOT,50,0.5607265551467158,0.5639528356819724,0.45567846726106587,0.45815851753401765,-0.07291481400153327,-0.0543804784019599,0.16591101634207892,0.9881036275598513
INTARIAN_PEPPER_ROOT,100,0.5615930550423275,0.5688434368992304,0.45730495017712364,0.4631949510931645,-0.05714361734134121,-0.05702968131931465,0.1574014113248006,0.996017446704923
