proxy,day,baseline_day_pnl,proxy_day_pnl,delta_day_pnl,baseline_time_to_70,proxy_time_to_70,delta_time_to_70,baseline_time_to_80,proxy_time_to_80,delta_time_to_80,baseline_pct_pos_below_70,proxy_pct_pos_below_70,baseline_pct_pos_at_80,proxy_pct_pos_at_80
front_bias_depth_25,-1,78538.0,79194.5,656.5,23100.0,12600.0,-10500.0,25500.0,17400.0,-8100.0,0.1341744267547812,0.1677180334434765,0.4766196054871333,0.4803244217482728
front_bias_depth_25,0,78670.0,80127.5,1457.5,0.0,0.0,0.0,0.0,2700.0,2700.0,0.19745541975556,0.1748146663995191,0.4222600681226207,0.4533159687437387
front_bias_depth_25,1,80198.0,80933.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1780849358974359,0.1724759615384615,0.3687900641025641,0.4223758012820512
uniform_depth_125,-1,78538.0,79416.0,878.0,23100.0,17400.0,-5700.0,25500.0,23100.0,-2400.0,0.1341744267547812,0.1184539901872434,0.4766196054871333,0.4720136177030139
uniform_depth_125,0,78670.0,79630.0,960.0,0.0,0.0,0.0,0.0,2700.0,2700.0,0.19745541975556,0.1752153876978561,0.4222600681226207,0.4560208375075135
uniform_depth_125,1,80198.0,80993.5,795.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1780849358974359,0.160957532051282,0.3687900641025641,0.3946314102564102
uniform_depth_trade_125,-1,78538.0,80065.5,1527.5,23100.0,17400.0,-5700.0,25500.0,23100.0,-2400.0,0.1341744267547812,0.1061379793731851,0.4766196054871333,0.4959447281465906
uniform_depth_trade_125,0,78670.0,80573.5,1903.5,0.0,0.0,0.0,0.0,2700.0,2700.0,0.19745541975556,0.1634942897214987,0.4222600681226207,0.4609296734121418
uniform_depth_trade_125,1,80198.0,81862.5,1664.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1780849358974359,0.145733173076923,0.3687900641025641,0.426181891025641
