proxy,day,time_to_70,time_to_80,pct_pos_below_70,pct_pos_at_80
baseline,-1,23100,25500,0.13417442675478122,0.4766196054871333
baseline,0,0,0,0.19745541975556,0.42226006812262074
baseline,1,0,0,0.1780849358974359,0.3687900641025641
uniform_depth_125,-1,17400,23100,0.11845399018724341,0.4720136177030139
uniform_depth_125,0,0,2700,0.17521538769785613,0.45602083750751354
uniform_depth_125,1,0,0,0.16095753205128205,0.39463141025641024
front_bias_depth_25,-1,12600,17400,0.16771803344347652,0.4803244217482728
front_bias_depth_25,0,0,2700,0.17481466639951915,0.45331596874373875
front_bias_depth_25,1,0,0,0.17247596153846154,0.42237580128205127
uniform_depth_trade_125,-1,17400,23100,0.10613797937318514,0.4959447281465906
uniform_depth_trade_125,0,0,2700,0.1634942897214987,0.46092967341214186
uniform_depth_trade_125,1,0,0,0.14573317307692307,0.426181891025641
