delta_key,bid,mean_ev,min_ev,max_regret,mean_regret
conservative,100,41.9852247798624,0.0,854.7768679710375,741.6194501115638
conservative,125,292.31302742055203,0.0,827.8822110076064,491.29164747087424
conservative,150,586.3029962437573,13.127946403767677,453.3386493752607,197.30167864766875
conservative,175,769.25337751973,466.46659577902835,43.41482835175941,14.351297371696225
downside,100,34.83436252219849,0.0,700.6784567408954,606.3273769043124
downside,125,241.11258236014478,0.0,674.1343165612202,400.049157066366
downside,150,480.60619805130455,10.761282902796113,369.0798157681011,160.55554137520622
downside,175,626.3986547319865,379.8410986708972,44.56826212843475,14.76308469452429
central,100,70.0320661537053,0.0,1459.1758257472063,1272.2569004855188
central,125,493.1294757223438,0.0,1430.9063851173246,849.1594909168803
central,150,1000.8629787758861,22.410384437848585,783.8154583771795,341.4259878633381
central,175,1329.5527659239822,806.2258428150282,38.89087403632357,12.736200715241958
