scenario,scenario_label,delta_key,delta_label,delta_value,bid,q_accept,net_gain_if_accepted,uplift_pct_vs_base,fee_roi,ev_uplift,ev_total
A_masa_100,Escenario A — masa en 100,conservative,Delta_conservative,1005.1666666666666,100,0.27054143523698443,905.1666666666666,0.0087966659809878,9.051666666666666,244.88508912867707,103143.71842246199
A_masa_100,Escenario A — masa en 100,downside,Delta_downside,851.0,100,0.27054143523698443,751.0,0.00729843065923974,7.51,203.17661786297532,103102.00995119629
A_masa_100,Escenario A — masa en 100,central,Delta_central,1609.8333333333333,100,0.27054143523698443,1509.8333333333333,0.014672987869962894,15.098333333333333,408.4724769686403,103307.30581030196
A_masa_100,Escenario A — masa en 100,conservative,Delta_conservative,1005.1666666666666,125,0.9925182673945383,880.1666666666666,0.008553708901785412,7.041333333333333,873.581495018426,103772.41482835174
A_masa_100,Escenario A — masa en 100,downside,Delta_downside,851.0,125,0.9925182673945383,726.0,0.007055473580037352,5.808,720.5682621284348,103619.40159546175
A_masa_100,Escenario A — masa en 100,central,Delta_central,1609.8333333333333,125,0.9925182673945383,1484.8333333333333,0.014430030790760506,11.878666666666666,1473.7242073696568,104372.55754070297
A_masa_100,Escenario A — masa en 100,conservative,Delta_conservative,1005.1666666666666,150,1.0,855.1666666666666,0.008310751822583024,5.701111111111111,855.1666666666666,103753.99999999999
A_masa_100,Escenario A — masa en 100,downside,Delta_downside,851.0,150,1.0,701.0,0.006812516500834964,4.673333333333333,701.0,103599.83333333331
A_masa_100,Escenario A — masa en 100,central,Delta_central,1609.8333333333333,150,1.0,1459.8333333333333,0.014187073711558118,9.732222222222221,1459.8333333333333,104358.66666666664
A_masa_100,Escenario A — masa en 100,conservative,Delta_conservative,1005.1666666666666,175,1.0,830.1666666666666,0.008067794743380636,4.7438095238095235,830.1666666666666,103728.99999999999
A_masa_100,Escenario A — masa en 100,downside,Delta_downside,851.0,175,1.0,676.0,0.006569559421632575,3.862857142857143,676.0,103574.83333333331
A_masa_100,Escenario A — masa en 100,central,Delta_central,1609.8333333333333,175,1.0,1434.8333333333333,0.01394411663235573,8.199047619047619,1434.8333333333333,104333.66666666664
B_masa_125,Escenario B — masa en 125,conservative,Delta_conservative,1005.1666666666666,100,0.0002236788897353201,905.1666666666666,0.0087966659809878,9.051666666666666,0.20246667502542057,102899.03580000834
B_masa_125,Escenario B — masa en 125,downside,Delta_downside,851.0,100,0.0002236788897353201,751.0,0.00729843065923974,7.51,0.16798284619122542,102899.0013161795
B_masa_125,Escenario B — masa en 125,central,Delta_central,1609.8333333333333,100,0.0002236788897353201,1509.8333333333333,0.014672987869962894,15.098333333333333,0.33771784368537744,102899.17105117699
B_masa_125,Escenario B — masa en 125,conservative,Delta_conservative,1005.1666666666666,125,0.49961965004830355,880.1666666666666,0.008553708901785412,7.041333333333333,439.74856198418183,103338.58189531749
B_masa_125,Escenario B — masa en 125,downside,Delta_downside,851.0,125,0.49961965004830355,726.0,0.007055473580037352,5.808,362.7238659350684,103261.55719926838
B_masa_125,Escenario B — masa en 125,central,Delta_central,1609.8333333333333,125,0.49961965004830355,1484.8333333333333,0.014430030790760506,11.878666666666666,741.851910380056,103640.68524371336
B_masa_125,Escenario B — masa en 125,conservative,Delta_conservative,1005.1666666666666,150,0.9997809409230907,855.1666666666666,0.008310751822583024,5.701111111111111,854.979334646063,103753.81266797938
B_masa_125,Escenario B — masa en 125,downside,Delta_downside,851.0,150,0.9997809409230907,701.0,0.006812516500834964,4.673333333333333,700.8464395870866,103599.6797729204
B_masa_125,Escenario B — masa en 125,central,Delta_central,1609.8333333333333,150,0.9997809409230907,1459.8333333333333,0.014187073711558118,9.732222222222221,1459.5135435908917,104358.3468769242
B_masa_125,Escenario B — masa en 125,conservative,Delta_conservative,1005.1666666666666,175,1.0,830.1666666666666,0.008067794743380636,4.7438095238095235,830.1666666666666,103728.99999999999
B_masa_125,Escenario B — masa en 125,downside,Delta_downside,851.0,175,1.0,676.0,0.006569559421632575,3.862857142857143,676.0,103574.83333333331
B_masa_125,Escenario B — masa en 125,central,Delta_central,1609.8333333333333,175,1.0,1434.8333333333333,0.01394411663235573,8.199047619047619,1434.8333333333333,104333.66666666664
C_masa_150,Escenario C — masa en 150,conservative,Delta_conservative,1005.1666666666666,100,0.0,905.1666666666666,0.0087966659809878,9.051666666666666,0.0,102898.83333333331
C_masa_150,Escenario C — masa en 150,downside,Delta_downside,851.0,100,0.0,751.0,0.00729843065923974,7.51,0.0,102898.83333333331
C_masa_150,Escenario C — masa en 150,central,Delta_central,1609.8333333333333,100,0.0,1509.8333333333333,0.014672987869962894,15.098333333333333,0.0,102898.83333333331
C_masa_150,Escenario C — masa en 150,conservative,Delta_conservative,1005.1666666666666,125,0.003672897905266893,880.1666666666666,0.008553708901785412,7.041333333333333,3.2327623062857436,102902.0660956396
C_masa_150,Escenario C — masa en 150,downside,Delta_downside,851.0,125,0.003672897905266893,726.0,0.007055473580037352,5.808,2.6665238792237647,102901.49985721253
C_masa_150,Escenario C — masa en 150,central,Delta_central,1609.8333333333333,125,0.003672897905266893,1484.8333333333333,0.014430030790760506,11.878666666666666,5.453641239670458,102904.28697457298
C_masa_150,Escenario C — masa en 150,conservative,Delta_conservative,1005.1666666666666,150,0.6508717794077138,855.1666666666666,0.008310751822583024,5.701111111111111,556.6038500234965,103455.43718335681
C_masa_150,Escenario C — masa en 150,downside,Delta_downside,851.0,150,0.6508717794077138,701.0,0.006812516500834964,4.673333333333333,456.2611173648074,103355.09445069812
