day,product,final_pnl
-2,INTARIAN_PEPPER_ROOT,103499.0
-1,INTARIAN_PEPPER_ROOT,67560.0
0,INTARIAN_PEPPER_ROOT,38768.0
ALL,INTARIAN_PEPPER_ROOT,209827.0
