round,round_label,product,day,session_index,session_label,day_label,day_pnl,max_drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,turnover,avg_abs_position,max_abs_position,pct_abs_ge_20,pct_abs_ge_40,pct_abs_ge_60,pct_abs_ge_70,pct_abs_ge_80,pct_at_limit,avg_signed_edge_to_mid,avg_signed_markout_10
round_1,Round 1,ASH_COATED_OSMIUM,-2,1,session 1,day -2,20113.0,-1562.0,645,0.6496124031007752,0.35038759689922483,5.665116279069768,36532097.0,26.34872770987778,80.0,0.5487878180725305,0.27128831897415345,0.07794029252654779,0.023342015628130635,0.0039070326587858145,0.0039070326587858145,4.021705426356589,6.066666666666666
round_1,Round 1,ASH_COATED_OSMIUM,-1,2,session 2,day -1,22308.0,-1350.0,652,0.6349693251533742,0.36503067484662577,5.736196319018405,37401946.0,21.38054692978063,80.0,0.42963037163177403,0.16257637984573775,0.06060302514274266,0.03716317740158269,0.0018030652108584593,0.0018030652108584593,3.986196319018405,5.855061349693251
round_1,Round 1,ASH_COATED_OSMIUM,0,3,session 3,day 0,20420.0,-1840.0,659,0.6039453717754173,0.3960546282245827,5.915022761760243,38985488.0,34.81193671139595,80.0,0.6338874424193871,0.39745643901462047,0.23663128379731624,0.13208491888644103,0.03835369517324254,0.03835369517324254,3.5819423368740515,5.865705614567527
round_1,Round 1,INTARIAN_PEPPER_ROOT,-2,1,session 1,day -2,83008.0,-1292.0,456,0.39035087719298245,0.6096491228070176,5.245614035087719,25108786.0,75.88040865384616,80.0,0.9998998397435898,0.9994991987179487,0.9972956730769231,0.8834134615384616,0.43139022435897434,0.43139022435897434,1.025219298245614,3.5657894736842106
round_1,Round 1,INTARIAN_PEPPER_ROOT,-1,2,session 2,day -1,82988.0,-1520.0,482,0.3755186721991701,0.6244813278008299,5.182572614107884,28749620.0,74.55874987478714,80.0,1.0,1.0,0.9755584493639187,0.8066713412801763,0.37343483922668536,0.37343483922668536,1.066390041493776,3.809128630705394
round_1,Round 1,INTARIAN_PEPPER_ROOT,0,3,session 3,day 0,81948.0,-1440.0,473,0.3678646934460888,0.6321353065539113,5.350951374207188,31642182.0,71.96793265858302,80.0,1.0,0.9949894779035976,0.9160236496642951,0.6797274275979557,0.29191301733640646,0.29191301733640646,1.145877378435518,4.453488372093023
round_2,Round 2,ASH_COATED_OSMIUM,-1,1,session 1,day -1,22167.0,-1620.0,669,0.6651718983557549,0.33482810164424515,5.678624813153961,37993065.0,41.55373059589384,80.0,0.857185778668002,0.5630445668502754,0.19328993490235352,0.07080620931397096,0.023535302954431646,0.023535302954431646,4.294469357249627,6.2092675635276535
round_2,Round 2,ASH_COATED_OSMIUM,0,2,session 2,day 0,22630.0,-1600.0,677,0.6735598227474151,0.32644017725258495,5.69423929098966,38555264.0,21.615985576923077,80.0,0.44871794871794873,0.15334535256410256,0.061398237179487176,0.03615785256410257,0.013621794871794872,0.013621794871794872,4.272525849335302,6.110044313146234
round_2,Round 2,ASH_COATED_OSMIUM,1,3,session 3,day 1,21659.0,-1600.0,678,0.6592920353982301,0.3407079646017699,5.70353982300885,38670062.0,21.63710162357186,80.0,0.432150731609541,0.16887151733814393,0.07085588294247344,0.03788334335538184,0.016536380036079375,0.016536380036079375,4.120206489675517,5.987463126843658
round_2,Round 2,INTARIAN_PEPPER_ROOT,-1,1,session 1,day -1,81203.5,-1360.0,500,0.39,0.61,5.294,30470081.0,73.05387003104035,80.0,0.9988985681385801,0.9985981776309202,0.9522379092820666,0.7056173024932412,0.30599779713627717,0.30599779713627717,1.095,3.849
round_2,Round 2,INTARIAN_PEPPER_ROOT,0,2,session 2,day 0,81593.5,-1520.0,508,0.37598425196850394,0.6240157480314961,5.387795275590551,34243240.0,71.63905029052295,80.0,1.0,0.9986976557804047,0.9115407733921058,0.6567822079743538,0.24644359847725908,0.24644359847725908,1.18503937007874,4.142716535433071
round_2,Round 2,INTARIAN_PEPPER_ROOT,1,3,session 3,day 1,80687.0,-1680.0,517,0.39264990328820115,0.6073500967117988,5.342359767891683,37302261.0,68.67077323717949,80.0,1.0,0.9856770833333334,0.8037860576923077,0.5636017628205128,0.2341746794871795,0.2341746794871795,1.5270793036750483,4.872340425531915
