model,official_ash_pnl,official_pepper_pnl,official_total_pnl,official_day_-2_total,official_day_-1_total,official_day_0_total,official_min_day_pnl
model_E_plus_13,56789.5,206145.0,262934.5,91996.5,86873.0,84065.0,84065.0
model_E_plus_11,56789.5,206139.0,262928.5,91999.5,86863.0,84066.0,84066.0
model_E_plus_12,56789.5,206103.0,262892.5,91988.5,86868.0,84036.0,84036.0
model_E_plus_9,56789.5,206099.0,262888.5,91982.5,86876.0,84030.0,84030.0
model_E_plus_10,56789.5,206097.0,262886.5,91982.5,86868.0,84036.0,84036.0
model_E_plus_6,56789.5,206097.0,262886.5,91991.5,86858.0,84037.0,84037.0
model_E_plus_3,56789.5,205838.0,262627.5,91947.5,86758.0,83922.0,83922.0
