model,pepper_pnl,drift_capture_ratio,avg_inventory,avg_inventory_early,avg_inventory_mid,avg_inventory_late,buy_qty_total,buy_qty_early,sell_qty_total,sell_qty_late,turnover,under_target_share,under_carry60_share,estimated_upside_lost_after_sells,estimated_upside_lost_after_late_sells,avg_fill_size,fill_size_std,aggressive_fill_share,inventory_turns
model_E_plus_13,213191.0,0.8871130159786951,71.95241434582248,24.96078431372549,65.12121212121212,72.1362918137502,3952.0,140.0,3763.0,3753.0,7715.0,0.2733253189073666,0.12335537300474186,1312624.0,1302654.0,5.999222395023328,2.888681083123599,0.7511664074650077,0.26076938489280704
model_E_plus_11,213167.0,0.8870131491344874,71.94837373939758,24.96078431372549,65.12121212121212,72.132223903177,3944.0,140.0,3755.0,3745.0,7699.0,0.2738262205302879,0.12335537300474186,1305274.5,1295304.5,5.996105919003115,2.8909274414359154,0.7507788161993769,0.2602350898283577
model_E_plus_9,213156.0,0.8869673768308921,71.9419621986242,24.96078431372549,65.12121212121212,72.12576903681291,3953.0,140.0,3764.0,3754.0,7717.0,0.27462766312696185,0.12335537300474186,1313433.5,1303463.5,5.968290796597061,2.9089960904381496,0.7509667440061871,0.2608361717758632
model_E_plus_10,213145.0,0.886921604527297,71.9433981166099,24.96078431372549,65.12121212121212,72.1272146579257,3952.0,140.0,3763.0,3753.0,7715.0,0.27462766312696185,0.12335537300474186,1312624.0,1302654.0,5.9713622291021675,2.9074927761566456,0.7515479876160991,0.26076938489280704
model_E_plus_12,213145.0,0.886921604527297,71.9433981166099,24.96078431372549,65.12121212121212,72.1272146579257,3952.0,140.0,3763.0,3753.0,7715.0,0.27462766312696185,0.12335537300474186,1312624.0,1302654.0,5.9713622291021675,2.9074927761566456,0.7515479876160991,0.26076938489280704
model_E_plus_3,213129.0,0.8868550266311584,71.93508314966941,24.96078431372549,65.12121212121212,72.11884350310977,3948.0,140.0,3759.0,3749.0,7707.0,0.2751953516329393,0.12335537300474186,1307812.5,1297842.5,5.969790859798605,2.909667883275024,0.7513555383423702,0.26050223736058237
model_E_plus_6,213121.0,0.8868217376830893,71.939357510185,24.96078431372549,65.12121212121212,72.1231467473525,3944.0,140.0,3755.0,3745.0,7699.0,0.2751285647498831,0.12335537300474186,1305274.5,1295304.5,5.968217054263566,2.909713337225066,0.7511627906976744,0.2602350898283577
