day,product,final_pnl
-2,INTARIAN_PEPPER_ROOT,28999.0
-1,INTARIAN_PEPPER_ROOT,27624.0
0,INTARIAN_PEPPER_ROOT,29156.0
ALL,INTARIAN_PEPPER_ROOT,85779.0
