day,product,final_pnl
-2,INTARIAN_PEPPER_ROOT,36884.0
-1,INTARIAN_PEPPER_ROOT,35805.0
0,INTARIAN_PEPPER_ROOT,38616.0
ALL,INTARIAN_PEPPER_ROOT,111305.0
