day,product,final_pnl
-2,INTARIAN_PEPPER_ROOT,39103.5
-1,INTARIAN_PEPPER_ROOT,35240.0
0,INTARIAN_PEPPER_ROOT,36838.0
ALL,INTARIAN_PEPPER_ROOT,111181.5
