day,product,final_pnl
-2,INTARIAN_PEPPER_ROOT,47656.5
-1,INTARIAN_PEPPER_ROOT,31907.0
0,INTARIAN_PEPPER_ROOT,29122.0
ALL,INTARIAN_PEPPER_ROOT,108685.5
