day,product,final_pnl
-2,INTARIAN_PEPPER_ROOT,36722.5
-1,INTARIAN_PEPPER_ROOT,33539.0
0,INTARIAN_PEPPER_ROOT,35031.0
ALL,INTARIAN_PEPPER_ROOT,105292.5
