model,total_pnl,fill_count,turnover_volume,ash_pnl,pepper_pnl,pepper_avg_position,pepper_max_position,pepper_turnover,aggressive_fill_share,maker_share,day_-2_pnl,day_-1_pnl,day_0_pnl,combined_pnl
model_C,193473.0,4626.0,28936.0,62977.5,130495.5,50.49642690175649,78.0,16673.0,0.8019142738243862,0.19808572617561382,47917.5,41834.0,40744.0,193473.0
model_D,-57718.0,6928.0,50389.0,62977.5,-120695.5,9.079576571161423,54.0,38126.0,0.9126461211477152,0.08735387885228481,-46590.5,-43233.0,-30872.0,-57718.0
model_E,271915.0,3579.0,20574.0,62977.5,208937.5,71.32859146463635,80.0,8311.0,0.7595870206489675,0.24041297935103245,74019.5,67587.0,67331.0,271915.0
