model,day,segment,avg_position,avg_abs_position,segment_end_pnl
model_C,-2,early,56.87590144230769,56.87590144230769,16987.0
model_C,-2,mid,54.439434926360086,54.439434926360086,32611.0
model_C,-2,late,54.37098227696005,54.37098227696005,47917.5
model_C,-1,early,52.001202645820804,52.001202645820804,62221.5
model_C,-1,mid,54.10997596153846,54.10997596153846,77325.5
model_C,-1,late,46.022829678582156,46.022829678582156,89751.5
model_C,0,early,42.192897983749624,42.192897983749624,101255.0
model_C,0,mid,48.86349969933855,48.86349969933855,116500.5
model_C,0,late,45.582882882882885,45.582882882882885,130495.5
model_D,-2,early,6.7647235576923075,9.532151442307692,-17451.0
model_D,-2,mid,10.351668169522092,12.051097084460475,-35656.0
model_D,-2,late,12.311504956443377,13.537699008711325,-46590.5
model_D,-1,early,6.603126879134095,9.935057125676488,-63299.5
model_D,-1,mid,10.055288461538462,11.767427884615385,-77126.5
model_D,-1,late,10.332832682487233,11.968759387203365,-89823.5
model_D,0,early,5.178754137827265,8.527535359614806,-101523.0
model_D,0,mid,9.2919422730006,11.444076969332531,-111914.5
model_D,0,late,10.817117117117117,12.123423423423423,-120695.5
