model,day,realized_pepper_pnl,ideal_hold_pnl_80,drift_capture_ratio,avg_position,avg_abs_position,avg_position_early,avg_position_mid,avg_position_late,frac_time_ge_20,frac_time_ge_40,frac_time_ge_60,frac_time_ge_80,sell_count,sold_qty,buy_count,buy_qty,inventory_reducing_sell_count,inventory_reducing_sell_qty,sell_lost_upside_upper_bound,fill_count,turnover_qty,aggressive_fill_share,maker_share
model_C,-2,47917.5,80240.0,0.5971772183449651,55.22876602564103,55.22876602564103,56.87590144230769,54.439434926360086,54.37098227696005,0.9965945512820513,0.8713942307692307,0.4205729166666667,0.0,392,2808,429,2871,392,2808,1359531.0,821,5679.0,0.7831912302070646,0.21680876979293545
model_C,-1,41834.0,79960.0,0.5231865932966483,50.710608033657216,50.710608033657216,52.001202645820804,54.10997596153846,46.022829678582156,0.9836722428127818,0.7443654212160673,0.3194430531904237,0.0,401,2943,438,2974,401,2943,1457127.0,839,5917.0,0.8164481525625745,0.1835518474374255
model_C,0,40744.0,80120.0,0.5085371942086869,45.54744964425293,45.54744964425293,42.192897983749624,48.86349969933855,45.582882882882885,0.9903797975749074,0.6819320573203728,0.14821124361158433,0.0,351,2515,392,2562,351,2515,1268610.0,743,5077.0,0.8061911170928667,0.19380888290713325
model_C,TOTAL,130495.5,240320.0,0.5430072403462051,50.49642690175649,50.49642690175649,50.36042898666934,52.47149584209999,48.658590308370044,0.9902157216322715,0.765911974888132,0.2960996460295198,0.0,1144,8266,1259,8407,1144,8266,4085268.0,2403,16673.0,0.8019142738243862,0.19808572617561382
model_D,-2,-46590.5,80240.0,-0.580639332003988,9.809495192307692,11.70713141025641,6.7647235576923075,10.351668169522092,12.311504956443377,0.18078926282051283,0.010216346153846154,0.0,0.0,878,7350,922,7357,749,5712,2925563.0,1800,14707.0,0.9127777777777778,0.08722222222222223
model_D,-1,-43233.0,79960.0,-0.5406828414207103,8.997696083341681,11.224080937593909,6.603126879134095,10.055288461538462,10.332832682487233,0.1846138435340078,0.007212260843433837,0.0,0.0,785,6521,820,6536,654,4982,2534245.0,1605,13057.0,0.9202492211838006,0.07975077881619938
model_D,0,-30872.0,80120.0,-0.3853220169745382,8.431205531616394,10.69956909509971,5.178754137827265,9.2919422730006,10.817117117117117,0.14831145405351237,0.003908207235193907,0.0,0.0,635,5181,665,5181,525,4004,1930009.0,1300,10362.0,0.9030769230769231,0.09692307692307692
model_D,TOTAL,-120695.5,240320.0,-0.5022282789613848,9.079576571161423,11.210345288185401,6.182620026059938,9.899709447951107,11.15378454144974,0.17124156815601416,0.007112803045481867,0.0,0.0,2298,19052,2407,19074,1940,14698,7387429.0,4705,38126.0,0.9126461211477152,0.08735387885228481
