criterion,v,r,s,gross_value,expected_pnl,p10_pnl,p90_pnl,mean_regret,max_regret,prob_best_response,broad_range_low,broad_range_high,core_range_low,core_range_high
Max EV (central mixture),42,15,43,361658.6836026406,206401.77651219082,181018.7101380133,228255.76269019488,6838.415333739662,58158.52985523167,0.17316,41,46,41,46
Robust (min mean regret),42,15,43,361658.6836026406,206401.77651219082,181018.7101380133,228255.76269019488,6838.415333739662,58158.52985523167,0.17316,41,46,41,46
Conservative (best min EV across sensitivity),46,14,40,328595.5604156542,204832.2144205291,186722.92413617537,224276.70246939303,8407.977425401376,46799.15323750564,0.17096,41,46,41,46
