v,pmf_total_mixture
0,0.0004950495049504951
1,0.0004950495049504951
2,0.0004950495049504951
3,0.0004950495049504951
4,0.0004950495049504951
5,0.0004950495049504951
6,0.0004950495049504951
7,0.0004950495049504951
8,0.0004950495049504951
9,0.0004950495049504951
10,0.0004950495049504951
11,0.0004950495049504951
12,0.0004950495049504951
13,0.0004950495049504951
14,0.0004950495049504951
15,0.0004950495049504951
16,0.0004950495049504951
17,0.0004950495049504951
18,0.0012193443562875089
19,0.0014007428907576842
20,0.016322313879326294
21,0.016000331917512302
22,0.00718215786291581
23,0.011759491425124969
24,0.01628197378618124
25,0.03354726030826706
26,0.03245025988924703
27,0.014072555176712881
28,0.011017540956216397
29,0.00937705581261709
30,0.010299465593733216
31,0.0357870824537488
32,0.024060102300383857
33,0.053609490949173486
34,0.06309433673707862
35,0.08997294051274472
36,0.07895510039257012
37,0.04519663435437364
38,0.035036027926545685
39,0.02847883062505117
40,0.04350176762078443
41,0.05060769114479291
42,0.022666652344719797
43,0.020693621143668225
44,0.017969763463198757
45,0.014876530339373518
46,0.029796621167848363
47,0.009030844571476158
48,0.0067543246992145
49,0.0050162470541152155
50,0.021785232547848213
51,0.01311936952150572
52,0.003755316853747018
53,0.0034327430219565566
54,0.003425806671624477
55,0.003441887255857048
56,0.003562130325361021
57,0.0036810805024375774
58,0.0037941922213852327
59,0.003896368321147816
60,0.003982283800083148
61,0.003708318227036921
62,0.00380893434990353
63,0.0038708100474125397
64,0.003891690960820001
65,0.0038708100474125397
66,0.00380893434990353
67,0.003708318227036921
68,0.003572567021521763
69,0.0034064226608188745
70,0.00321548896451692
71,0.003005918823860816
72,0.0027840875228854573
73,0.002556276172176513
74,0.002328386699423923
75,0.002105705508421805
76,0.0018927273800665855
77,0.0016930451318461356
78,0.001509304654760598
79,0.0013432197945709636
80,0.0011956375687696267
81,0.0004950495049504951
82,0.0004950495049504951
83,0.0004950495049504951
84,0.0004950495049504951
85,0.0004950495049504951
86,0.0004950495049504951
87,0.0004950495049504951
88,0.0004950495049504951
89,0.0004950495049504951
90,0.0004950495049504951
91,0.0004950495049504951
92,0.0004950495049504951
93,0.0004950495049504951
94,0.0004950495049504951
95,0.0004950495049504951
96,0.0004950495049504951
97,0.0004950495049504951
98,0.0004950495049504951
99,0.0004950495049504951
100,0.0004950495049504951
